,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More information,,https://www.eex.com/en/markets/environmental-markets/emissions-auctions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,EEX Emissions market / Primary Market Auction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.11.2020,11:00,Auction 3. Period DE,T3PA,successful,26.80,24.80,30.00,26.52,26.48,"2,593,000","7,079,000",101,15,3.37,"70,089","235,967","579,888","199,462","299,472",2.73,30,13,"69,492,400",DE,,,,,,"69,492,400",,,,,,,,,,,,,,,,,,,,,,,,,
19.11.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,26.72,26.26,33.00,27.17,26.76,"3,951,500","5,548,000",99,60,3.41,"56,040","191,310","308,262","151,981","252,560",1.40,29,26,"105,584,080",EU,"1,643,280","3,152,960","3,914,480","334,000","6,319,280",,"1,482,960","1,255,840","4,448,880","10,901,760","1,977,280","6,452,880","627,920","1,990,640","1,108,880","23,433,440","320,640","11,489,600",0,"761,520","146,960","360,720","133,600","3,954,560","6,305,920",,"2,244,480","7,014,000","1,108,880","574,480","2,124,240"
18.11.2020,11:00,Auction 3. Period CAP2-PL,T3PA,successful,27.42,26.50,33.00,27.64,27.48,"6,398,500","8,631,000",91,56,3.79,"94,846","359,625","563,682","290,841","471,963",1.35,24,22,"175,446,870",PL,,,,,,,,,,,,,,,,,,,,,,,,,,"175,446,870",,,,,
17.11.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,27.12,26.50,33.00,27.31,27.02,"3,951,500","5,871,000",90,35,3.33,"65,233","217,444","345,180","207,974","302,066",1.49,27,19,"107,164,680",EU,"1,667,880","3,200,160","3,973,080","339,000","6,413,880",,"1,505,160","1,274,640","4,515,480","11,064,960","2,006,880","6,549,480","637,320","2,020,440","1,125,480","23,784,240","325,440","11,661,600",0,"772,920","149,160","366,120","135,600","4,013,760","6,400,320",,"2,278,080","7,119,000","1,125,480","583,080","2,156,040"
16.11.2020,11:01,Auction 3. Period CAP2-EU,T3PA,successful,26.67,26.03,33.00,26.93,26.58,"3,951,500","5,799,500",94,31,3.62,"61,697","223,058","343,217","232,441","326,064",1.47,26,17,"105,386,505",EU,"1,640,205","3,147,060","3,907,155","333,375","6,307,455",,"1,480,185","1,253,490","4,440,555","10,881,360","1,973,580","6,440,805","626,745","1,986,915","1,106,805","23,389,590","320,040","11,468,100",0,"760,095","146,685","360,045","133,350","3,947,160","6,294,120",,"2,240,280","7,000,875","1,106,805","573,405","2,120,265"
13.11.2020,11:00,Auction 3. Period DE,T3PA,successful,26.31,23.00,30.00,26.29,26.22,"2,593,000","4,218,000",81,26,3.12,"52,074","162,231","245,073","152,529","212,632",1.63,26,17,"68,221,830",DE,,,,,,"68,221,830",,,,,,,,,,,,,,,,,,,,,,,,,
12.11.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,25.90,25.00,29.00,25.87,25.73,"3,951,500","6,111,500",83,29,3.32,"73,633","244,460","408,261","219,528","349,311",1.55,25,18,"102,343,850",EU,"1,592,850","3,056,200","3,794,350","323,750","6,125,350",,"1,437,450","1,217,300","4,312,350","10,567,200","1,916,600","6,254,850","608,650","1,929,550","1,074,850","22,714,300","310,800","11,137,000",0,"738,150","142,450","349,650","129,500","3,833,200","6,112,400",,"2,175,600","6,798,750","1,074,850","556,850","2,059,050"
10.11.2020,11:03,Auction 3. Period CAP2-EU,T3PA,successful,26.47,23.00,30.00,26.43,26.40,"3,951,500","6,337,000",85,32,3.04,"74,553","226,321","369,697","219,528","332,859",1.60,28,18,"104,596,205",EU,"1,627,905","3,123,460","3,877,855","330,875","6,260,155",,"1,469,085","1,244,090","4,407,255","10,799,760","1,958,780","6,392,505","622,045","1,972,015","1,098,505","23,214,190","317,640","11,382,100",0,"754,395","145,585","357,345","132,350","3,917,560","6,246,920",,"2,223,480","6,948,375","1,098,505","569,105","2,104,365"
09.11.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,25.41,24.61,31.00,25.60,25.43,"3,951,500","5,359,500",79,43,3.16,"67,842","214,380","325,880","197,575","305,772",1.36,25,20,"100,407,615",EU,"1,562,715","2,998,380","3,722,565","317,625","6,009,465",,"1,410,255","1,194,270","4,230,765","10,367,280","1,880,340","6,136,515","597,135","1,893,045","1,054,515","22,284,570","304,920","10,926,300",0,"724,185","139,755","343,035","127,050","3,760,680","5,996,760",,"2,134,440","6,670,125","1,054,515","546,315","2,020,095"
06.11.2020,11:02,Auction 3. Period DE,T3PA,successful,25.20,22.00,30.00,25.10,25.05,"2,593,000","6,322,500",85,32,3.54,"74,382","263,438","584,333","152,529","217,304",2.44,24,17,"65,343,600",DE,,,,,,"65,343,600",,,,,,,,,,,,,,,,,,,,,,,,,
05.11.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,25.55,23.00,32.00,25.84,25.34,"3,951,500","7,277,000",100,27,3.33,"72,770","242,567","394,367","246,969","352,551",1.84,30,16,"100,960,825",EU,"1,571,325","3,014,900","3,743,075","319,375","6,042,575",,"1,418,025","1,200,850","4,254,075","10,424,400","1,890,700","6,170,325","600,425","1,903,475","1,060,325","22,407,350","306,600","10,986,500",0,"728,175","140,525","344,925","127,750","3,781,400","6,029,800",,"2,146,200","6,706,875","1,060,325","549,325","2,031,225"
04.11.2020,15:00,EUAA Auction CAP2-EU,EAA3,successful,23.83,22.70,24.35,23.74,23.76,"891,500","2,026,000",34,15,3.40,"59,588","202,600","246,771","148,583","156,098",2.27,10,6,"21,244,445",EU,"464,685","548,090","178,725","262,130","250,215",,"560,005","47,660","1,024,690","3,348,115","464,685","2,502,150","131,065","214,470","417,025",,"452,770","2,966,835",0,"71,490","11,915","107,235","95,320","750,645","4,611,105",,"583,835","345,535","762,560","35,745","35,745"
04.11.2020,11:00,Auction 3. Period CAP2-PL,T3PA,successful,23.99,23.00,30.00,24.37,23.91,"6,398,500","9,626,500",102,42,3.92,"94,377","370,250","552,668","319,925","445,266",1.50,26,20,"153,500,015",PL,,,,,,,,,,,,,,,,,,,,,,,,,,"153,500,015",,,,,
03.11.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,24.40,23.00,30.00,24.39,24.26,"3,951,500","6,515,000",78,24,3.00,"83,526","250,577","375,740","219,528","346,833",1.65,26,18,"96,416,600",EU,"1,500,600","2,879,200","3,574,600","305,000","5,770,600",,"1,354,200","1,146,800","4,062,600","9,955,200","1,805,600","5,892,600","573,400","1,817,800","1,012,600","21,398,800","292,800","10,492,000",0,"695,400","134,200","329,400","122,000","3,611,200","5,758,400",,"2,049,600","6,405,000","1,012,600","524,600","1,939,800"
02.11.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,23.02,22.00,30.00,23.07,22.89,"3,951,500","6,743,500",101,33,3.88,"66,767","259,365","365,261","207,974","293,787",1.71,26,19,"90,963,530",EU,"1,415,730","2,716,360","3,372,430","287,750","5,444,230",,"1,277,610","1,081,940","3,832,830","9,392,160","1,703,480","5,559,330","540,970","1,714,990","955,330","20,188,540","276,240","9,898,600",0,"656,070","126,610","310,770","115,100","3,406,960","5,432,720",,"1,933,680","6,042,750","955,330","494,930","1,830,090"
30.10.2020,11:00,Auction 3. Period DE,T3PA,successful,23.45,23.02,33.00,23.87,23.44,"2,593,000","3,953,000",77,38,3.50,"51,338","179,682","223,075","136,474","213,625",1.52,22,19,"60,805,850",DE,,,,,,"60,805,850",,,,,,,,,,,,,,,,,,,,,,,,,
29.10.2020,11:01,Auction 3. Period CAP2-EU,T3PA,successful,23.07,22.25,33.00,23.33,22.95,"3,951,500","6,197,000",103,31,3.55,"60,165","213,690","313,069","207,974","286,900",1.57,29,19,"91,161,105",EU,"1,418,805","2,722,260","3,379,755","288,375","5,456,055",,"1,280,385","1,084,290","3,841,155","9,412,560","1,707,180","5,571,405","542,145","1,718,715","957,405","20,232,390","276,840","9,920,100",0,"657,495","126,885","311,445","115,350","3,414,360","5,444,520",,"1,937,880","6,055,875","957,405","496,005","1,834,065"
27.10.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,23.55,22.00,30.00,23.73,23.62,"3,952,000","5,633,000",90,55,3.46,"62,589","216,654","317,959","164,667","262,685",1.43,26,24,"93,069,600",EU,"1,448,325","2,778,900","3,450,075","294,375","5,569,575",,"1,307,025","1,106,850","3,921,075","9,608,400","1,742,700","5,687,325","553,425","1,754,475","977,325","20,653,350","282,600","10,126,500","11,775","671,175","129,525","317,925","117,750","3,485,400","5,557,800",,"1,978,200","6,181,875","977,325","506,325","1,872,225"
26.10.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,24.33,22.00,30.00,24.50,24.30,"3,952,000","6,279,000",101,46,3.61,"62,168","224,250","418,791","171,826","297,841",1.59,28,23,"96,152,160",EU,"1,496,295","2,870,940","3,564,345","304,125","5,754,045",,"1,350,315","1,143,510","4,050,945","9,926,640","1,800,420","5,875,695","571,755","1,812,585","1,009,695","21,337,410","291,960","10,461,900","12,165","693,405","133,815","328,455","121,650","3,600,840","5,741,880",,"2,043,720","6,386,625","1,009,695","523,095","1,934,235"
23.10.2020,11:00,Auction 3. Period DE,T3PA,successful,24.92,22.00,30.00,25.10,25.00,"2,593,000","3,257,500",67,44,3.05,"48,619","148,068","190,621","144,056","200,668",1.26,22,18,"64,617,560",DE,,,,,,"64,617,560",,,,,,,,,,,,,,,,,,,,,,,,,
22.10.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,23.60,22.00,30.00,23.58,23.41,"3,952,000","6,648,500",87,23,3.11,"76,420","237,446","380,235","219,556","348,915",1.68,28,18,"93,267,200",EU,"1,451,400","2,784,800","3,457,400","295,000","5,581,400",,"1,309,800","1,109,200","3,929,400","9,628,800","1,746,400","5,699,400","554,600","1,758,200","979,400","20,697,200","283,200","10,148,000","11,800","672,600","129,800","318,600","118,000","3,492,800","5,569,600",,"1,982,400","6,195,000","979,400","507,400","1,876,200"
21.10.2020,11:00,Auction 3. Period CAP2-PL,T3PA,successful,23.96,23.31,30.00,24.34,24.01,"6,398,500","8,018,000",92,55,3.68,"87,152","320,720","485,287","278,196","447,035",1.25,25,23,"153,308,060",PL,,,,,,,,,,,,,,,,,,,,,,,,,,"153,308,060",,,,,
20.10.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,24.44,23.81,31.00,24.65,24.46,"3,952,000","5,763,500",79,42,2.82,"72,956","205,839","333,231","164,667","301,885",1.46,28,24,"96,586,880",EU,"1,503,060","2,883,920","3,580,460","305,500","5,780,060",,"1,356,420","1,148,680","4,069,260","9,971,520","1,808,560","5,902,260","574,340","1,820,780","1,014,260","21,433,880","293,280","10,509,200","12,220","696,540","134,420","329,940","122,200","3,617,120","5,767,840",,"2,052,960","6,415,500","1,014,260","525,460","1,942,980"
19.10.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,24.85,24.01,30.00,24.89,24.77,"3,952,000","5,951,000",78,34,2.69,"76,295","205,207","315,380","197,600","330,840",1.51,29,20,"98,207,200",EU,"1,528,275","2,932,300","3,640,525","310,625","5,877,025",,"1,379,175","1,167,950","4,137,525","10,138,800","1,838,900","6,001,275","583,975","1,851,325","1,031,275","21,793,450","298,200","10,685,500","12,425","708,225","136,675","335,475","124,250","3,677,800","5,864,600",,"2,087,400","6,523,125","1,031,275","534,275","1,975,575"
16.10.2020,11:00,Auction 3. Period DE,T3PA,successful,25.46,24.50,33.00,25.31,25.04,"2,593,000","5,214,500",71,16,3.09,"73,444","226,717","299,368","216,083","228,220",2.01,23,12,"66,017,780",DE,,,,,,"66,017,780",,,,,,,,,,,,,,,,,,,,,,,,,
15.10.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,25.15,24.50,35.01,25.42,25.04,"3,952,000","7,146,500",92,28,3.29,"77,679","255,232","345,316","188,190","261,042",1.81,28,21,"99,392,800",EU,"1,546,725","2,967,700","3,684,475","314,375","5,947,975",,"1,395,825","1,182,050","4,187,475","10,261,200","1,861,100","6,073,725","591,025","1,873,675","1,043,725","22,056,550","301,800","10,814,500","12,575","716,775","138,325","339,525","125,750","3,722,200","5,935,400",,"2,112,600","6,601,875","1,043,725","540,725","1,999,425"
13.10.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,25.30,24.50,32.00,25.49,25.27,"3,952,000","6,552,500",116,53,3.74,"56,487","211,371","335,381","152,000","274,147",1.66,31,26,"99,985,600",EU,"1,555,950","2,985,400","3,706,450","316,250","5,983,450",,"1,404,150","1,189,100","4,212,450","10,322,400","1,872,200","6,109,950","594,550","1,884,850","1,049,950","22,188,100","303,600","10,879,000","12,650","721,050","139,150","341,550","126,500","3,744,400","5,970,800",,"2,125,200","6,641,250","1,049,950","543,950","2,011,350"
12.10.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,25.54,24.50,30.00,25.46,25.35,"3,952,000","7,421,000",110,33,3.93,"67,464","265,036","444,471","232,471","365,008",1.88,28,17,"100,934,080",EU,"1,570,710","3,013,720","3,741,610","319,250","6,040,210",,"1,417,470","1,200,380","4,252,410","10,420,320","1,889,960","6,167,910","600,190","1,902,730","1,059,910","22,398,580","306,480","10,982,200","12,770","727,890","140,470","344,790","127,700","3,779,920","6,027,440",,"2,145,360","6,704,250","1,059,910","549,110","2,030,430"
09.10.2020,11:00,Auction 3. Period DE,T3PA,successful,26.00,24.50,30.00,26.03,25.92,"2,593,000","5,380,000",101,44,3.88,"53,267","206,923","269,186","123,476","159,619",2.07,26,21,"67,418,000",DE,,,,,,"67,418,000",,,,,,,,,,,,,,,,,,,,,,,,,
08.10.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,26.40,24.50,32.00,26.49,26.33,"3,952,000","7,075,000",101,41,3.48,"70,050","243,966","397,767","171,826","283,768",1.79,29,23,"104,332,800",EU,"1,623,600","3,115,200","3,867,600","330,000","6,243,600",,"1,465,200","1,240,800","4,395,600","10,771,200","1,953,600","6,375,600","620,400","1,966,800","1,095,600","23,152,800","316,800","11,352,000","13,200","752,400","145,200","356,400","132,000","3,907,200","6,230,400",,"2,217,600","6,930,000","1,095,600","567,600","2,098,800"
07.10.2020,15:01,EUAA Auction DE,EAA3,successful,26.76,25.22,27.30,26.53,26.52,"769,000","2,307,000",35,11,3.50,"65,914","230,700","210,537","153,800","94,237",3.00,10,5,"20,578,440",DE,,,,,,"20,578,440",,,,,,,,,,,,,,,,,,,,,,,,,
07.10.2020,11:00,Auction 3. Period CAP2-PL,T3PA,successful,27.43,24.50,34.00,27.46,27.40,"6,398,500","9,494,500",102,43,4.08,"93,083","379,780","513,683","336,763","443,131",1.48,25,19,"175,510,855",PL,,,,,,,,,,,,,,,,,,,,,,,,,,"175,510,855",,,,,
06.10.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,26.68,24.50,33.00,26.68,26.52,"3,952,000","7,095,500",96,34,3.43,"73,911","253,411","450,389","197,600","376,047",1.80,28,20,"105,439,360",EU,"1,640,820","3,148,240","3,908,620","333,500","6,309,820",,"1,480,740","1,253,960","4,442,220","10,885,440","1,974,320","6,443,220","626,980","1,987,660","1,107,220","23,398,360","320,160","11,472,400","13,340","760,380","146,740","360,180","133,400","3,948,640","6,296,480",,"2,241,120","7,003,500","1,107,220","573,620","2,121,060"
05.10.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,26.79,24.50,33.00,26.87,26.70,"3,952,000","6,730,000",97,37,3.73,"69,381","258,846","418,536","197,600","318,128",1.70,26,20,"105,874,080",EU,"1,647,585","3,161,220","3,924,735","334,875","6,335,835",,"1,486,845","1,259,130","4,460,535","10,930,320","1,982,460","6,469,785","629,565","1,995,855","1,111,785","23,494,830","321,480","11,519,700","13,395","763,515","147,345","361,665","133,950","3,964,920","6,322,440",,"2,250,360","7,032,375","1,111,785","575,985","2,129,805"
02.10.2020,11:00,Auction 3. Period DE,T3PA,successful,26.11,25.00,33.00,26.27,25.98,"2,593,000","5,749,000",82,27,3.28,"70,110","229,960","320,080","136,474","189,870",2.22,25,19,"67,703,230",DE,,,,,,"67,703,230",,,,,,,,,,,,,,,,,,,,,,,,,
01.10.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,26.41,25.51,28.00,26.45,26.40,"3,952,000","6,282,000",86,42,3.91,"73,047","285,545","421,667","197,600","306,990",1.59,22,20,"104,372,320",EU,"1,624,215","3,116,380","3,869,065","330,125","6,245,965",,"1,465,755","1,241,270","4,397,265","10,775,280","1,954,340","6,378,015","620,635","1,967,545","1,096,015","23,161,570","316,920","11,356,300","13,205","752,685","145,255","356,535","132,050","3,908,680","6,232,760",,"2,218,440","6,932,625","1,096,015","567,815","2,099,595"
29.09.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,27.09,26.43,33.00,27.43,27.02,"3,952,000","6,259,500",90,40,3.75,"69,550","260,813","446,942","197,600","302,527",1.58,24,20,"107,059,680",EU,"1,666,035","3,196,620","3,968,685","338,625","6,406,785",,"1,503,495","1,273,230","4,510,485","11,052,720","2,004,660","6,542,235","636,615","2,018,205","1,124,235","23,757,930","325,080","11,648,700","13,545","772,065","148,995","365,715","135,450","4,009,320","6,393,240",,"2,275,560","7,111,125","1,124,235","582,435","2,153,655"
28.09.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,26.28,25.00,30.00,26.50,26.27,"3,952,000","6,042,500",79,38,3.04,"76,487","232,404","393,528","188,190","294,828",1.53,26,21,"103,858,560",EU,"1,616,220","3,101,040","3,850,020","328,500","6,215,220",,"1,458,540","1,235,160","4,375,620","10,722,240","1,944,720","6,346,620","617,580","1,957,860","1,090,620","23,047,560","315,360","11,300,400","13,140","748,980","144,540","354,780","131,400","3,889,440","6,202,080",,"2,207,520","6,898,500","1,090,620","565,020","2,089,260"
25.09.2020,11:01,Auction 3. Period DE,T3PA,successful,26.20,25.00,33.00,26.37,26.15,"2,593,000","5,050,000",98,42,3.38,"51,531","174,138","277,274","112,739","142,913",1.95,29,23,"67,936,600",DE,,,,,,"67,936,600",,,,,,,,,,,,,,,,,,,,,,,,,
24.09.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,26.28,25.00,33.00,26.77,26.32,"3,952,000","6,038,000",88,54,3.03,"68,614","208,207","375,292","146,370","275,779",1.53,29,27,"103,858,560",EU,"1,616,220","3,101,040","3,850,020","328,500","6,215,220",,"1,458,540","1,235,160","4,375,620","10,722,240","1,944,720","6,346,620","617,580","1,957,860","1,090,620","23,047,560","315,360","11,300,400","13,140","748,980","144,540","354,780","131,400","3,889,440","6,202,080",,"2,207,520","6,898,500","1,090,620","565,020","2,089,260"
23.09.2020,11:00,Auction 3. Period CAP2-PL,T3PA,successful,27.31,25.00,35.00,27.85,27.42,"6,398,500","9,460,500",91,58,3.64,"103,962","378,420","638,357","304,690","443,174",1.48,25,21,"174,743,035",PL,,,,,,,,,,,,,,,,,,,,,,,,,,"174,743,035",,,,,
