,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More information,,https://www.eex.com/en/markets/environmental-markets/emissions-auctions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,EEX Emissions market / Primary Market Auction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.12.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,87.45,57.00,95.00,86.32,87.48,"2,066,500","2,853,000",67,36,3.35,"42,582","142,650","205,539","114,806","206,538",1.38,20,18,"180,715,425",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"180,715,425",,,,,
07.12.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,82.87,61.00,90.00,82.53,82.70,"2,515,500","4,083,000",75,29,3.26,"54,440","177,522","251,927","139,750","227,309",1.62,23,18,"208,459,485",EU,"2,941,885","5,055,070","8,742,785","787,265","5,469,420",,"2,776,145","2,568,970","10,193,010","24,736,695","3,936,325","14,212,205","1,118,745","580,090","1,284,485","26,435,530",0,"24,570,955",0,"870,135","41,435","621,525","45,868,545","290,045","8,701,350","1,657,400",,"5,137,940","3,729,150","2,113,185","1,325,920","2,693,275"
06.12.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,80.00,56.00,85.00,79.09,79.65,"2,515,500","4,563,000",88,22,4.19,"51,852","217,286","282,116","179,679","278,207",1.81,21,14,"201,240,000",EU,"2,840,000","4,880,000","8,440,000","760,000","5,280,000",,"2,680,000","2,480,000","9,840,000","23,880,000","3,800,000","13,720,000","1,080,000","560,000","1,240,000","25,520,000",0,"23,720,000",0,"840,000","40,000","600,000","44,280,000","280,000","8,400,000","1,600,000",,"4,960,000","3,600,000","2,040,000","1,280,000","2,600,000"
03.12.2021,11:00,Auction 4. Period DE,T3PA,successful,78.76,56.00,85.00,77.75,78.25,"1,805,000","3,398,000",71,17,2.73,"47,859","130,692","205,470","128,929","182,340",1.88,26,14,"142,161,800",DE,,,,,,"142,161,800",,,,,,,,,,,,,,,,,,,,,,,,,,
02.12.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,77.10,56.00,85.00,76.25,76.96,"2,515,500","3,755,000",75,31,3.75,"50,067","187,750","236,683","147,971","218,926",1.49,20,17,"193,945,050",EU,"2,737,050","4,703,100","8,134,050","732,450","5,088,600",,"2,582,850","2,390,100","9,483,300","23,014,350","3,662,250","13,222,650","1,040,850","539,700","1,195,050","24,594,900",0,"22,860,150",0,"809,550","38,550","578,250","42,674,850","269,850","8,095,500","1,542,000",,"4,780,200","3,469,500","1,966,050","1,233,600","2,505,750"
01.12.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,76.38,50.00,82.00,75.29,76.21,"2,066,500","3,410,000",87,34,4.14,"39,195","162,381","211,384","121,559","174,036",1.65,21,17,"157,839,270",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"157,839,270",,,,,
30.11.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,74.82,57.00,80.00,74.24,74.78,"2,515,500","3,600,500",83,40,3.46,"43,380","150,021","192,443","119,786","174,281",1.43,24,21,"188,209,710",EU,"2,656,110","4,564,020","7,893,510","710,790","4,938,120",,"2,506,470","2,319,420","9,202,860","22,333,770","3,553,950","12,831,630","1,010,070","523,740","1,159,710","23,867,580",0,"22,184,130",0,"785,610","37,410","561,150","41,412,870","261,870","7,856,100","1,496,400",,"4,638,840","3,366,900","1,907,910","1,197,120","2,431,650"
29.11.2021,11:01,Auction 4. Period CAP3 EU,T3PA,successful,74.48,56.00,99.00,74.14,74.48,"2,515,500","3,329,500",89,45,3.87,"37,410","144,761","254,943","125,775","235,159",1.32,23,20,"187,354,440",EU,"2,644,040","4,543,280","7,857,640","707,560","4,915,680",,"2,495,080","2,308,880","9,161,040","22,232,280","3,537,800","12,773,320","1,005,480","521,360","1,154,440","23,759,120",0,"22,083,320",0,"782,040","37,240","558,600","41,224,680","260,680","7,820,400","1,489,600",,"4,617,760","3,351,600","1,899,240","1,191,680","2,420,600"
26.11.2021,11:00,Auction 4. Period DE,T3PA,successful,71.95,56.00,80.00,71.09,71.85,"1,805,000","3,104,000",81,32,3.86,"38,321","147,810","200,579","106,176","180,801",1.72,21,17,"129,869,750",DE,,,,,,"129,869,750",,,,,,,,,,,,,,,,,,,,,,,,,,
25.11.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,72.15,56.00,99.00,72.09,72.31,"2,515,500","3,083,000",91,58,4.14,"33,879","140,136","266,157","114,341","240,250",1.23,22,22,"181,493,325",EU,"2,561,325","4,401,150","7,611,825","685,425","4,761,900",,"2,417,025","2,236,650","8,874,450","21,536,775","3,427,125","12,373,725","974,025","505,050","1,118,325","23,015,850",0,"21,392,475",0,"757,575","36,075","541,125","39,935,025","252,525","7,575,750","1,443,000",,"4,473,300","3,246,750","1,839,825","1,154,400","2,344,875"
24.11.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,69.51,56.00,75.00,69.16,69.64,"2,066,500","2,399,500",65,46,3.25,"36,915","119,975","222,404","108,763","221,413",1.16,20,19,"143,642,415",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"143,642,415",,,,,
23.11.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,69.88,56.00,77.00,69.43,69.86,"2,515,500","3,664,000",81,40,3.86,"45,235","174,476","266,459","132,395","230,226",1.46,21,19,"175,783,140",EU,"2,480,740","4,262,680","7,372,340","663,860","4,612,080",,"2,340,980","2,166,280","8,595,240","20,859,180","3,319,300","11,984,420","943,380","489,160","1,083,140","22,291,720",0,"20,719,420",0,"733,740","34,940","524,100","38,678,580","244,580","7,337,400","1,397,600",,"4,332,560","3,144,600","1,781,940","1,118,080","2,271,100"
22.11.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,69.70,58.00,75.00,69.34,69.63,"2,515,500","3,937,000",94,40,4.48,"41,883","187,476","282,306","147,971","257,386",1.57,21,17,"175,330,350",EU,"2,474,350","4,251,700","7,353,350","662,150","4,600,200",,"2,334,950","2,160,700","8,573,100","20,805,450","3,310,750","11,953,550","940,950","487,900","1,080,350","22,234,300",0,"20,666,050",0,"731,850","34,850","522,750","38,578,950","243,950","7,318,500","1,394,000",,"4,321,400","3,136,500","1,777,350","1,115,200","2,265,250"
19.11.2021,11:00,Auction 4. Period DE,T3PA,successful,69.21,56.00,75.00,68.53,69.20,"1,805,000","2,883,500",65,31,3.25,"44,362","144,175","229,394","120,333","248,459",1.60,20,15,"124,924,050",DE,,,,,,"124,924,050",,,,,,,,,,,,,,,,,,,,,,,,,,
18.11.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,66.51,56.00,73.00,66.11,66.33,"2,515,500","3,720,500",75,29,3.41,"49,607","169,114","261,940","147,971","234,154",1.48,22,17,"167,305,905",EU,"2,361,105","4,057,110","7,016,805","631,845","4,389,660",,"2,228,085","2,061,810","8,180,730","19,853,235","3,159,225","11,406,465","897,885","465,570","1,030,905","21,216,690",0,"19,720,215",0,"698,355","33,255","498,825","36,813,285","232,785","6,983,550","1,330,200",,"4,123,620","2,992,950","1,696,005","1,064,160","2,161,575"
17.11.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,67.14,56.00,77.00,67.13,67.19,"2,066,500","2,879,000",86,48,4.10,"33,477","137,095","204,490","108,763","169,245",1.39,21,19,"138,744,810",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"138,744,810",,,,,
16.11.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,67.50,56.00,74.00,66.90,67.25,"2,515,500","4,188,000",88,24,4.63,"47,591","220,421","272,428","209,625","233,664",1.66,19,12,"169,796,250",EU,"2,396,250","4,117,500","7,121,250","641,250","4,455,000",,"2,261,250","2,092,500","8,302,500","20,148,750","3,206,250","11,576,250","911,250","472,500","1,046,250","21,532,500",0,"20,013,750",0,"708,750","33,750","506,250","37,361,250","236,250","7,087,500","1,350,000",,"4,185,000","3,037,500","1,721,250","1,080,000","2,193,750"
15.11.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,64.40,55.00,70.00,64.08,64.16,"2,515,500","4,180,000",77,21,3.67,"54,286","199,048","301,224","209,625","288,579",1.66,21,12,"161,998,200",EU,"2,286,200","3,928,400","6,794,200","611,800","4,250,400",,"2,157,400","1,996,400","7,921,200","19,223,400","3,059,000","11,044,600","869,400","450,800","998,200","20,543,600",0,"19,094,600",0,"676,200","32,200","483,000","35,645,400","225,400","6,762,000","1,288,000",,"3,992,800","2,898,000","1,642,200","1,030,400","2,093,000"
12.11.2021,11:00,Auction 4. Period DE,T3PA,successful,63.53,59.00,67.00,63.04,63.36,"1,805,000","3,117,000",62,26,3.26,"50,274","164,053","259,314","112,813","213,255",1.73,19,16,"114,671,650",DE,,,,,,"114,671,650",,,,,,,,,,,,,,,,,,,,,,,,,,
11.11.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,62.31,55.00,66.00,62.14,62.17,"2,515,500","4,037,000",68,25,3.78,"59,368","224,278","349,779","179,679","283,119",1.60,18,14,"156,740,805",EU,"2,212,005","3,800,910","6,573,705","591,945","4,112,460",,"2,087,385","1,931,610","7,664,130","18,599,535","2,959,725","10,686,165","841,185","436,170","965,805","19,876,890",0,"18,474,915",0,"654,255","31,155","467,325","34,488,585","218,085","6,542,550","1,246,200",,"3,863,220","2,803,950","1,588,905","996,960","2,025,075"
10.11.2021,15:00,EUAA Auction CAP3 EU,EAA3,successful,61.53,60.30,61.76,61.34,61.46,"613,500","1,370,500",27,9,3.86,"50,759","195,786","210,922","122,700","123,118",2.23,7,5,"37,748,655",EU,"1,015,245","1,292,130","399,945","276,885","430,710",,"1,230,600","153,825","2,430,435","6,983,655","1,046,010","5,199,285","307,650","399,945","922,950",,"399,945","5,722,290",0,"184,590","215,355","276,885",,"276,885","1,999,725","1,938,195",,"1,784,370","892,185","1,784,370","61,530","123,060"
10.11.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,60.25,59.40,66.00,60.71,60.40,"2,066,500","2,858,000",62,43,3.10,"46,097","142,900","279,528","114,806","212,472",1.38,20,18,"124,506,625",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"124,506,625",,,,,
09.11.2021,11:01,Auction 4. Period CAP3 EU,T3PA,successful,60.11,59.37,66.00,60.37,60.06,"2,515,500","3,121,500",70,32,3.18,"44,593","141,886","218,380","139,750","211,086",1.24,22,18,"151,206,705",EU,"2,133,905","3,666,710","6,341,605","571,045","3,967,260",,"2,013,685","1,863,410","7,393,530","17,942,835","2,855,225","10,308,865","811,485","420,770","931,705","19,175,090",0,"17,822,615",0,"631,155","30,055","450,825","33,270,885","210,385","6,311,550","1,202,200",,"3,726,820","2,704,950","1,532,805","961,760","1,953,575"
08.11.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,60.06,58.50,66.00,60.41,60.10,"2,515,500","3,420,500",72,39,3.60,"47,507","171,025","286,529","132,395","244,319",1.36,20,19,"151,080,930",EU,"2,132,130","3,663,660","6,336,330","570,570","3,963,960",,"2,012,010","1,861,860","7,387,380","17,927,910","2,852,850","10,300,290","810,810","420,420","930,930","19,159,140",0,"17,807,790",0,"630,630","30,030","450,450","33,243,210","210,210","6,306,300","1,201,200",,"3,723,720","2,702,700","1,531,530","960,960","1,951,950"
05.11.2021,11:01,Auction 4. Period DE,T3PA,successful,61.05,59.55,65.00,60.94,60.90,"1,805,000","3,073,500",79,24,3.76,"38,905","146,357","174,840","120,333","160,546",1.70,21,15,"110,195,250",DE,,,,,,"110,195,250",,,,,,,,,,,,,,,,,,,,,,,,,,
04.11.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,59.81,59.00,65.00,59.88,59.74,"2,515,500","4,108,500",96,39,4.36,"42,797","186,750","295,036","147,971","258,210",1.63,22,17,"150,452,055",EU,"2,123,255","3,648,410","6,309,955","568,195","3,947,460",,"2,003,635","1,854,110","7,356,630","17,853,285","2,840,975","10,257,415","807,435","418,670","927,055","19,079,390",0,"17,733,665",0,"628,005","29,905","448,575","33,104,835","209,335","6,280,050","1,196,200",,"3,708,220","2,691,450","1,525,155","956,960","1,943,825"
03.11.2021,11:01,Auction 4. Period CAP3 PL,T3PA,successful,59.78,59.01,66.00,60.21,59.85,"2,066,500","2,829,500",71,43,4.18,"39,852","166,441","239,073","129,156","211,344",1.37,17,16,"123,535,370",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"123,535,370",,,,,
02.11.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,57.80,57.00,66.00,57.94,57.70,"2,515,500","4,070,500",79,28,3.76,"51,525","193,833","270,827","147,971","217,653",1.62,21,17,"145,395,900",EU,"2,051,900","3,525,800","6,097,900","549,100","3,814,800",,"1,936,300","1,791,800","7,109,400","17,253,300","2,745,500","9,912,700","780,300","404,600","895,900","18,438,200",0,"17,137,700",0,"606,900","28,900","433,500","31,992,300","202,300","6,069,000","1,156,000",,"3,583,600","2,601,000","1,473,900","924,800","1,878,500"
01.11.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,59.98,59.21,66.00,60.15,59.93,"2,515,500","4,013,000",77,35,4.53,"52,117","236,059","311,616","157,219","213,503",1.60,17,16,"150,879,690",EU,"2,129,290","3,658,780","6,327,890","569,810","3,958,680",,"2,009,330","1,859,380","7,377,540","17,904,030","2,849,050","10,286,570","809,730","419,860","929,690","19,133,620",0,"17,784,070",0,"629,790","29,990","449,850","33,198,930","209,930","6,297,900","1,199,600",,"3,718,760","2,699,100","1,529,490","959,680","1,949,350"
29.10.2021,11:00,Auction 4. Period DE,T3PA,successful,59.40,55.00,66.00,59.40,59.01,"1,805,000","3,753,500",67,15,3.05,"56,022","170,614","258,685","150,417","217,593",2.08,22,12,"107,217,000",DE,,,,,,"107,217,000",,,,,,,,,,,,,,,,,,,,,,,,,,
28.10.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,58.93,55.00,66.00,59.18,58.70,"2,515,500","4,541,500",82,25,3.90,"55,384","216,262","310,308","157,219","248,404",1.81,21,16,"148,238,415",EU,"2,092,015","3,594,730","6,217,115","559,835","3,889,380",,"1,974,155","1,826,830","7,248,390","17,590,605","2,799,175","10,106,495","795,555","412,510","913,415","18,798,670",0,"17,472,745",0,"618,765","29,465","441,975","32,617,755","206,255","6,187,650","1,178,600",,"3,653,660","2,651,850","1,502,715","942,880","1,915,225"
27.10.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,58.92,10.00,65.00,58.29,58.75,"2,066,500","3,642,500",74,29,3.36,"49,223","165,568","249,373","129,156","216,032",1.76,22,16,"121,758,180",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"121,758,180",,,,,
26.10.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,58.96,55.00,66.00,59.12,58.86,"2,515,500","4,034,500",76,29,3.17,"53,086","168,104","244,951","132,395","191,771",1.60,24,19,"148,313,880",EU,"2,093,080","3,596,560","6,220,280","560,120","3,891,360",,"1,975,160","1,827,760","7,252,080","17,599,560","2,800,600","10,111,640","795,960","412,720","913,880","18,808,240",0,"17,481,640",0,"619,080","29,480","442,200","32,634,360","206,360","6,190,800","1,179,200",,"3,655,520","2,653,200","1,503,480","943,360","1,916,200"
25.10.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,58.94,55.00,66.00,59.24,58.93,"2,515,500","3,830,000",68,34,3.09,"56,324","174,091","210,750","125,775","185,817",1.52,22,20,"148,263,570",EU,"2,092,370","3,595,340","6,218,170","559,930","3,890,040",,"1,974,490","1,827,140","7,249,620","17,593,590","2,799,650","10,108,210","795,690","412,580","913,570","18,801,860",0,"17,475,710",0,"618,870","29,470","442,050","32,623,290","206,290","6,188,700","1,178,800",,"3,654,280","2,652,300","1,502,970","943,040","1,915,550"
22.10.2021,11:00,Auction 4. Period DE,T3PA,successful,59.50,55.00,65.00,59.29,59.04,"1,805,000","3,484,000",73,18,3.48,"47,726","165,905","223,023","150,417","180,576",1.93,21,12,"107,397,500",DE,,,,,,"107,397,500",,,,,,,,,,,,,,,,,,,,,,,,,,
21.10.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,57.10,55.00,66.00,57.22,56.74,"2,515,500","4,526,000",82,23,3.57,"55,195","196,783","285,570","209,625","227,851",1.80,23,12,"143,635,050",EU,"2,027,050","3,483,100","6,024,050","542,450","3,768,600",,"1,912,850","1,770,100","7,023,300","17,044,350","2,712,250","9,792,650","770,850","399,700","885,050","18,214,900",0,"16,930,150",0,"599,550","28,550","428,250","31,604,850","199,850","5,995,500","1,142,000",,"3,540,200","2,569,500","1,456,050","913,600","1,855,750"
20.10.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,56.00,54.98,66.00,56.39,55.92,"2,066,500","3,466,500",77,33,3.50,"45,019","157,568","218,712","108,763","184,786",1.68,22,19,"115,724,000",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"115,724,000",,,,,
19.10.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,57.58,56.52,66.00,58.00,57.49,"2,515,500","4,282,500",79,33,3.43,"54,209","186,196","245,803","139,750","188,441",1.70,23,18,"144,842,490",EU,"2,044,090","3,512,380","6,074,690","547,010","3,800,280",,"1,928,930","1,784,980","7,082,340","17,187,630","2,735,050","9,874,970","777,330","403,060","892,490","18,368,020",0,"17,072,470",0,"604,590","28,790","431,850","31,870,530","201,530","6,045,900","1,151,600",,"3,569,960","2,591,100","1,468,290","921,280","1,871,350"
18.10.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,58.85,57.82,65.00,58.98,58.79,"2,515,500","3,974,000",69,28,3.14,"57,594","180,636","277,330","147,971","220,370",1.58,22,17,"148,037,175",EU,"2,089,175","3,589,850","6,208,675","559,075","3,884,100",,"1,971,475","1,824,350","7,238,550","17,566,725","2,795,375","10,092,775","794,475","411,950","912,175","18,773,150",0,"17,449,025",0,"617,925","29,425","441,375","32,573,475","205,975","6,179,250","1,177,000",,"3,648,700","2,648,250","1,500,675","941,600","1,912,625"
15.10.2021,11:00,Auction 4. Period DE,T3PA,successful,61.01,59.75,66.00,61.01,60.80,"1,805,000","3,750,500",79,23,3.59,"47,475","170,477","225,640","128,929","193,746",2.08,22,14,"110,123,050",DE,,,,,,"110,123,050",,,,,,,,,,,,,,,,,,,,,,,,,,
14.10.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,59.43,58.59,100.00,60.39,59.43,"2,515,500","3,940,500",80,39,3.81,"49,256","187,643","249,970","132,395","204,964",1.57,21,19,"149,496,165",EU,"2,109,765","3,625,230","6,269,865","564,585","3,922,380",,"1,990,905","1,842,330","7,309,890","17,739,855","2,822,925","10,192,245","802,305","416,010","921,165","18,958,170",0,"17,620,995",0,"624,015","29,715","445,725","32,894,505","208,005","6,240,150","1,188,600",,"3,684,660","2,674,350","1,515,465","950,880","1,931,475"
13.10.2021,15:00,EUAA Auction DE,EAA3,successful,58.75,57.00,62.00,58.56,58.50,"600,000","1,785,000",68,7,8.50,"26,250","223,125","181,881","150,000","107,005",2.98,8,4,"35,250,000",DE,,,,,,"35,250,000",,,,,,,,,,,,,,,,,,,,,,,,,,
13.10.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,59.63,58.50,66.00,59.89,59.71,"2,066,500","2,988,500",83,47,3.95,"36,006","142,310","184,066","114,806","170,226",1.45,21,18,"123,225,395",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"123,225,395",,,,,
12.10.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,58.86,57.00,65.00,59.12,58.93,"2,515,500","3,878,500",71,46,3.09,"54,627","168,630","264,223","119,786","248,411",1.54,23,21,"148,062,330",EU,"2,089,530","3,590,460","6,209,730","559,170","3,884,760",,"1,971,810","1,824,660","7,239,780","17,569,710","2,795,850","10,094,490","794,610","412,020","912,330","18,776,340",0,"17,451,990",0,"618,030","29,430","441,450","32,579,010","206,010","6,180,300","1,177,200",,"3,649,320","2,648,700","1,500,930","941,760","1,912,950"
11.10.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,59.33,57.00,100.00,60.28,59.35,"2,515,500","4,022,500",75,39,3.57,"53,633","191,548","322,959","147,971","260,216",1.60,21,17,"149,244,615",EU,"2,106,215","3,619,130","6,259,315","563,635","3,915,780",,"1,987,555","1,839,230","7,297,590","17,710,005","2,818,175","10,175,095","800,955","415,310","919,615","18,926,270",0,"17,591,345",0,"622,965","29,665","444,975","32,839,155","207,655","6,229,650","1,186,600",,"3,678,460","2,669,850","1,512,915","949,280","1,928,225"
08.10.2021,11:00,Auction 4. Period DE,T3PA,successful,59.92,58.00,100.00,60.70,59.74,"1,805,000","3,395,000",62,24,3.10,"54,758","169,750","258,559","106,176","252,120",1.88,20,17,"108,155,600",DE,,,,,,"108,155,600",,,,,,,,,,,,,,,,,,,,,,,,,,
07.10.2021,11:01,Auction 4. Period CAP3 EU,T3PA,successful,58.99,57.00,66.00,59.43,58.91,"2,515,500","4,381,000",75,33,3.95,"58,413","230,579","316,700","167,700","266,146",1.74,19,15,"148,389,345",EU,"2,094,145","3,598,390","6,223,445","560,405","3,893,340",,"1,976,165","1,828,690","7,255,770","17,608,515","2,802,025","10,116,785","796,365","412,930","914,345","18,817,810",0,"17,490,535",0,"619,395","29,495","442,425","32,650,965","206,465","6,193,950","1,179,800",,"3,657,380","2,654,550","1,504,245","943,840","1,917,175"
06.10.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,61.36,58.44,70.00,61.35,61.11,"2,066,500","3,111,500",70,24,3.04,"44,450","135,283","229,548","108,763","221,850",1.51,23,19,"126,800,440",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"126,800,440",,,,,
