,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More information,,www.eex.com/en/products/environmental-markets/emissions-auctions/overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,EEX Emissions market / Primary Market Auction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.12.2019,11:00,Auction 3. Period CAP2-EU,T3PA,24.41,21.00,30.01,24.50,24.37,"2,744,000","4,858,000",92,32,3.83,"52,804","202,417","295,921","137,200","191,560",1.77,24,20,"66,981,040",EU,"1,342,550","2,611,870","3,222,120","183,075","4,613,490",,"1,220,500","1,061,835","3,685,910","8,995,085","1,598,855","5,223,740","524,815","1,672,085","890,965","280,715","9,373,440",0,"610,250","122,050","305,125","122,050","3,197,710","5,553,275",,"1,867,365","5,492,250","927,580","488,200","1,794,135",
02.12.2019,11:00,Auction 3. Period CAP2-EU,T3PA,24.62,21.00,27.00,24.63,24.62,"2,744,000","4,298,500",95,43,3.96,"45,247","179,104","301,607","144,421","259,953",1.57,24,19,"67,557,280",EU,"1,354,100","2,634,340","3,249,840","184,650","4,653,180",,"1,231,000","1,070,970","3,717,620","9,072,470","1,612,610","5,268,680","529,330","1,686,470","898,630","283,130","9,454,080",0,"615,500","123,100","307,750","123,100","3,225,220","5,601,050",,"1,883,430","5,539,500","935,560","492,400","1,809,570",
29.11.2019,11:00,Auction 3. Period DE,T3PA,25.03,21.00,30.00,24.94,24.95,"2,834,500","4,833,500",75,17,3.75,"64,447","241,675","363,959","257,682","365,284",1.71,20,11,"70,947,535",DE,,,,,,"70,947,535",,,,,,,,,,,,,,,,,,,,,,,,,
28.11.2019,11:00,Auction 3. Period CAP2-EU,T3PA,24.91,21.00,30.00,24.96,24.95,"2,744,000","3,432,000",66,47,3.67,"52,000","190,667","267,948","161,412","218,847",1.25,18,17,"68,353,040",EU,"1,370,050","2,665,370","3,288,120","186,825","4,707,990",,"1,245,500","1,083,585","3,761,410","9,179,335","1,631,605","5,330,740","535,565","1,706,335","909,215","286,465","9,565,440",0,"622,750","124,550","311,375","124,550","3,263,210","5,667,025",,"1,905,615","5,604,750","946,580","498,200","1,830,885",
26.11.2019,11:00,Auction 3. Period CAP2-EU,T3PA,24.29,21.00,28.00,24.44,24.28,"2,744,000","4,322,000",70,33,3.89,"61,743","240,111","394,392","171,500","260,578",1.58,18,16,"66,651,760",EU,"1,335,950","2,599,030","3,206,280","182,175","4,590,810",,"1,214,500","1,056,615","3,667,790","8,950,865","1,590,995","5,198,060","522,235","1,663,865","886,585","279,335","9,327,360",0,"607,250","121,450","303,625","121,450","3,181,990","5,525,975",,"1,858,185","5,465,250","923,020","485,800","1,785,315",
25.11.2019,11:00,Auction 3. Period CAP2-EU,T3PA,24.52,21.00,29.00,24.72,24.49,"2,744,000","4,337,500",86,32,4.10,"50,436","206,548","364,494","211,077","304,430",1.58,21,13,"67,282,880",EU,"1,348,600","2,623,640","3,236,640","183,900","4,634,280",,"1,226,000","1,066,620","3,702,520","9,035,620","1,606,060","5,247,280","527,180","1,679,620","894,980","281,980","9,415,680",0,"613,000","122,600","306,500","122,600","3,212,120","5,578,300",,"1,875,780","5,517,000","931,760","490,400","1,802,220",
22.11.2019,11:00,Auction 3. Period DE,T3PA,24.32,21.00,30.01,24.38,24.29,"2,834,500","4,141,500",84,31,4.20,"49,304","207,075","334,700","166,735","290,548",1.46,20,17,"68,935,040",DE,,,,,,"68,935,040",,,,,,,,,,,,,,,,,,,,,,,,,
21.11.2019,11:00,Auction 3. Period CAP2-EU,T3PA,23.96,21.00,30.00,23.99,23.95,"2,744,000","4,156,500",93,41,4.04,"44,694","180,717","226,243","137,200","175,491",1.51,23,20,"65,746,240",EU,"1,317,800","2,563,720","3,162,720","179,700","4,528,440",,"1,198,000","1,042,260","3,617,960","8,829,260","1,569,380","5,127,440","515,140","1,641,260","874,540","275,540","9,200,640",0,"599,000","119,800","299,500","119,800","3,138,760","5,450,900",,"1,832,940","5,391,000","910,480","479,200","1,761,060",
20.11.2019,11:00,Auction 3. Period CAP2-PL,T3PA,23.34,21.00,30.00,23.32,23.22,"4,714,500","8,406,000",106,25,5.05,"79,302","400,286","475,960","362,654","325,295",1.78,21,13,"110,036,430",PL,,,,,,,,,,,,,,,,,,,,,,,,,"110,036,430",,,,,,
19.11.2019,11:00,Auction 3. Period CAP2-EU,T3PA,23.62,23.21,30.00,23.67,23.45,"2,744,000","5,216,000",96,15,4.36,"54,333","237,091","308,603","228,667","274,099",1.90,22,12,"64,813,280",EU,"1,299,100","2,527,340","3,117,840","177,150","4,464,180",,"1,181,000","1,027,470","3,566,620","8,703,970","1,547,110","5,054,680","507,830","1,617,970","862,130","271,630","9,070,080",0,"590,500","118,100","295,250","118,100","3,094,220","5,373,550",,"1,806,930","5,314,500","897,560","472,400","1,736,070",
18.11.2019,11:00,Auction 3. Period CAP2-EU,T3PA,23.41,21.00,28.00,23.39,23.32,"2,744,000","5,689,000",107,29,4.12,"53,168","218,808","336,040","182,933","219,753",2.07,26,15,"64,237,040",EU,"1,287,550","2,504,870","3,090,120","175,575","4,424,490",,"1,170,500","1,018,335","3,534,910","8,626,585","1,533,355","5,009,740","503,315","1,603,585","854,465","269,215","8,989,440",0,"585,250","117,050","292,625","117,050","3,066,710","5,325,775",,"1,790,865","5,267,250","889,580","468,200","1,720,635",
15.11.2019,11:01,Auction 3. Period DE,T3PA,23.41,21.00,30.00,23.51,23.38,"2,834,500","4,691,000",101,40,4.59,"46,446","213,227","217,251","166,735","187,014",1.65,22,17,"66,355,645",DE,,,,,,"66,355,645",,,,,,,,,,,,,,,,,,,,,,,,,
14.11.2019,11:00,Auction 3. Period CAP2-EU,T3PA,24.28,21.00,30.00,24.45,24.22,"2,744,000","5,342,500",97,33,4.04,"55,077","222,604","348,420","130,667","156,295",1.95,24,21,"66,624,320",EU,"1,335,400","2,597,960","3,204,960","182,100","4,588,920",,"1,214,000","1,056,180","3,666,280","8,947,180","1,590,340","5,195,920","522,020","1,663,180","886,220","279,220","9,323,520",0,"607,000","121,400","303,500","121,400","3,180,680","5,523,700",,"1,857,420","5,463,000","922,640","485,600","1,784,580",
12.11.2019,11:00,Auction 3. Period CAP2-EU,T3PA,24.95,21.00,30.00,25.02,24.90,"2,744,000","4,525,000",93,33,4.43,"48,656","215,476","258,397","161,412","195,897",1.65,21,17,"68,462,800",EU,"1,372,250","2,669,650","3,293,400","187,125","4,715,550",,"1,247,500","1,085,325","3,767,450","9,194,075","1,634,225","5,339,300","536,425","1,709,075","910,675","286,925","9,580,800",0,"623,750","124,750","311,875","124,750","3,268,450","5,676,125",,"1,908,675","5,613,750","948,100","499,000","1,833,825",
11.11.2019,11:00,Auction 3. Period CAP2-EU,T3PA,25.21,21.00,29.00,25.37,25.17,"2,744,000","4,884,500",88,28,4.00,"55,506","222,023","351,515","196,000","259,584",1.78,22,14,"69,176,240",EU,"1,386,550","2,697,470","3,327,720","189,075","4,764,690",,"1,260,500","1,096,635","3,806,710","9,289,885","1,651,255","5,394,940","542,015","1,726,885","920,165","289,915","9,680,640",0,"630,250","126,050","315,125","126,050","3,302,510","5,735,275",,"1,928,565","5,672,250","957,980","504,200","1,852,935",
08.11.2019,11:00,Auction 3. Period DE,T3PA,24.62,20.51,30.01,24.42,24.55,"2,834,500","6,297,500",102,26,4.86,"61,740","299,881","366,294","202,464","238,237",2.22,21,14,"69,785,390",DE,,,,,,"69,785,390",,,,,,,,,,,,,,,,,,,,,,,,,
07.11.2019,11:00,Auction 3. Period CAP2-EU,T3PA,24.86,21.00,29.00,24.92,24.84,"2,744,000","5,027,500",95,40,4.13,"52,921","218,587","346,633","144,421","228,020",1.83,23,19,"68,215,840",EU,"1,367,300","2,660,020","3,281,520","186,450","4,698,540",,"1,243,000","1,081,410","3,753,860","9,160,910","1,628,330","5,320,040","534,490","1,702,910","907,390","285,890","9,546,240",0,"621,500","124,300","310,750","124,300","3,256,660","5,655,650",,"1,901,790","5,593,500","944,680","497,200","1,827,210",
06.11.2019,15:00,EUAA Auction CAP2-EU,EAA3,25.18,24.10,25.45,24.86,25.00,"884,500","3,202,500",75,10,7.50,"42,700","320,250","290,402","176,900","93,504",3.62,10,5,"22,271,710",EU,"491,010","528,780","163,670","289,570","264,390",,"541,370","12,590","1,007,200","3,336,350","453,240","2,480,230","113,310","201,440","415,470","579,140","2,958,650",0,"37,770","25,180","88,130","138,490","717,630","5,741,040",,"566,550","314,750","717,630","37,770","50,360",
06.11.2019,11:01,Auction 3. Period CAP2-PL,T3PA,25.10,21.00,29.00,25.08,25.07,"4,714,500","8,190,500",114,41,4.56,"71,846","327,620","451,769","224,500","347,953",1.74,25,21,"118,333,950",PL,,,,,,,,,,,,,,,,,,,,,,,,,"118,333,950",,,,,,
05.11.2019,11:00,Auction 3. Period CAP2-EU,T3PA,25.80,25.50,30.00,25.88,25.75,"2,744,000","4,482,500",75,25,3.41,"59,767","203,750","238,236","161,412","193,036",1.63,22,17,"70,795,200",EU,"1,419,000","2,760,600","3,405,600","193,500","4,876,200",,"1,290,000","1,122,300","3,895,800","9,507,300","1,689,900","5,521,200","554,700","1,767,300","941,700","296,700","9,907,200",0,"645,000","129,000","322,500","129,000","3,379,800","5,869,500",,"1,973,700","5,805,000","980,400","516,000","1,896,300",
04.11.2019,11:01,Auction 3. Period CAP2-EU,T3PA,24.93,21.00,30.00,24.99,24.91,"2,744,000","4,806,500",68,30,3.09,"70,684","218,477","314,265","152,444","201,695",1.75,22,18,"68,407,920",EU,"1,371,150","2,667,510","3,290,760","186,975","4,711,770",,"1,246,500","1,084,455","3,764,430","9,186,705","1,632,915","5,335,020","535,995","1,707,705","909,945","286,695","9,573,120",0,"623,250","124,650","311,625","124,650","3,265,830","5,671,575",,"1,907,145","5,609,250","947,340","498,600","1,832,355",
01.11.2019,11:00,Auction 3. Period DE,T3PA,25.71,25.22,30.00,25.80,25.61,"2,834,500","5,144,000",50,15,3.85,"102,880","395,692","359,214","314,944","257,829",1.81,13,9,"72,874,995",DE,,,,,,"72,874,995",,,,,,,,,,,,,,,,,,,,,,,,,
31.10.2019,11:00,Auction 3. Period CAP2-EU,T3PA,25.95,25.60,30.00,26.20,25.95,"2,744,000","4,333,500",61,31,3.39,"71,041","240,750","326,802","182,933","232,824",1.58,18,15,"71,206,800",EU,"1,427,250","2,776,650","3,425,400","194,625","4,904,550",,"1,297,500","1,128,825","3,918,450","9,562,575","1,699,725","5,553,300","557,925","1,777,575","947,175","298,425","9,964,800",0,"648,750","129,750","324,375","129,750","3,399,450","5,903,625",,"1,985,175","5,838,750","986,100","519,000","1,907,325",
29.10.2019,11:00,Auction 3. Period CAP2-EU,T3PA,25.40,21.00,30.00,25.37,25.21,"2,744,000","5,253,500",95,16,3.96,"55,300","218,896","292,925","228,667","254,794",1.91,24,12,"69,697,600",EU,"1,397,000","2,717,800","3,352,800","190,500","4,800,600",,"1,270,000","1,104,900","3,835,400","9,359,900","1,663,700","5,435,600","546,100","1,739,900","927,100","292,100","9,753,600",0,"635,000","127,000","317,500","127,000","3,327,400","5,778,500",,"1,943,100","5,715,000","965,200","508,000","1,866,900",
28.10.2019,11:00,Auction 3. Period CAP2-EU,T3PA,24.68,21.00,29.00,24.78,24.61,"2,744,000","4,270,500",94,31,4.09,"45,431","185,674","286,559","171,500","281,456",1.56,23,16,"67,721,920",EU,"1,357,400","2,640,760","3,257,760","185,100","4,664,520",,"1,234,000","1,073,580","3,726,680","9,094,580","1,616,540","5,281,520","530,620","1,690,580","900,820","283,820","9,477,120",0,"617,000","123,400","308,500","123,400","3,233,080","5,614,700",,"1,888,020","5,553,000","937,840","493,600","1,813,980",
25.10.2019,11:00,Auction 3. Period DE,T3PA,24.86,21.00,29.00,24.98,24.91,"2,834,500","4,146,000",73,48,4.06,"56,795","230,333","277,507","166,735","182,748",1.46,18,17,"70,465,670",DE,,,,,,"70,465,670",,,,,,,,,,,,,,,,,,,,,,,,,
24.10.2019,11:00,Auction 3. Period CAP2-EU,T3PA,24.61,21.00,28.00,24.59,24.55,"2,744,500","4,239,500",87,35,3.78,"48,730","184,326","226,056","144,447","194,613",1.54,23,19,"67,542,145",EU,"1,353,550","2,633,270","3,248,520","184,575","4,651,290",,"1,230,500","1,070,535","3,716,110","9,068,785","1,611,955","5,266,540","529,115","1,685,785","898,265","283,015","9,450,240","12,305","615,250","123,050","307,625","123,050","3,223,910","5,598,775",,"1,882,665","5,537,250","935,180","492,200","1,808,835",
23.10.2019,11:00,Auction 3. Period CAP2-PL,T3PA,25.09,21.00,35.00,25.15,25.01,"4,714,500","7,667,000",116,34,5.04,"66,095","333,348","536,107","277,324","387,581",1.63,23,17,"118,286,805",PL,,,,,,,,,,,,,,,,,,,,,,,,,"118,286,805",,,,,,
22.10.2019,11:00,Auction 3. Period CAP2-EU,T3PA,25.70,21.00,29.00,25.55,25.57,"2,744,500","6,301,500",92,13,4.00,"68,495","273,978","395,013","249,500","314,618",2.30,23,11,"70,533,650",EU,"1,413,500","2,749,900","3,392,400","192,750","4,857,300",,"1,285,000","1,117,950","3,880,700","9,470,450","1,683,350","5,499,800","552,550","1,760,450","938,050","295,550","9,868,800","12,850","642,500","128,500","321,250","128,500","3,366,700","5,846,750",,"1,966,050","5,782,500","976,600","514,000","1,888,950",
21.10.2019,11:00,Auction 3. Period CAP2-EU,T3PA,25.90,0.01,29.00,25.53,25.92,"2,744,500","3,878,500",71,40,3.38,"54,627","184,690","260,453","144,447","207,902",1.41,21,19,"71,082,550",EU,"1,424,500","2,771,300","3,418,800","194,250","4,895,100",,"1,295,000","1,126,650","3,910,900","9,544,150","1,696,450","5,542,600","556,850","1,774,150","945,350","297,850","9,945,600","12,950","647,500","129,500","323,750","129,500","3,392,900","5,892,250",,"1,981,350","5,827,500","984,200","518,000","1,903,650",
18.10.2019,11:00,Auction 3. Period DE,T3PA,25.64,21.00,29.00,25.64,25.66,"2,834,500","4,343,000",70,41,3.89,"62,043","241,278","325,368","188,967","258,879",1.53,18,15,"72,676,580",DE,,,,,,"72,676,580",,,,,,,,,,,,,,,,,,,,,,,,,
17.10.2019,11:00,Auction 3. Period CAP2-EU,T3PA,25.96,21.00,40.00,26.01,25.75,"2,744,500","6,533,000",84,17,3.65,"77,774","284,043","405,719","211,115","271,262",2.38,23,13,"71,247,220",EU,"1,427,800","2,777,720","3,426,720","194,700","4,906,440",,"1,298,000","1,129,260","3,919,960","9,566,260","1,700,380","5,555,440","558,140","1,778,260","947,540","298,540","9,968,640","12,980","649,000","129,800","324,500","129,800","3,400,760","5,905,900",,"1,985,940","5,841,000","986,480","519,200","1,908,060",
15.10.2019,11:00,Auction 3. Period CAP2-EU,T3PA,24.48,21.00,26.00,24.44,24.45,"2,744,500","4,501,000",78,28,3.55,"57,705","204,591","246,047","182,967","202,825",1.64,22,15,"67,185,360",EU,"1,346,400","2,619,360","3,231,360","183,600","4,626,720",,"1,224,000","1,064,880","3,696,480","9,020,880","1,603,440","5,238,720","526,320","1,676,880","893,520","281,520","9,400,320","12,240","612,000","122,400","306,000","122,400","3,206,880","5,569,200",,"1,872,720","5,508,000","930,240","489,600","1,799,280",
14.10.2019,11:00,Auction 3. Period CAP2-EU,T3PA,23.82,21.00,26.00,23.78,23.75,"2,744,500","4,946,500",83,24,3.32,"59,596","197,860","320,049","171,531","210,865",1.80,25,16,"65,373,990",EU,"1,310,100","2,548,740","3,144,240","178,650","4,501,980",,"1,191,000","1,036,170","3,596,820","8,777,670","1,560,210","5,097,480","512,130","1,631,670","869,430","273,930","9,146,880","11,910","595,500","119,100","297,750","119,100","3,120,420","5,419,050",,"1,822,230","5,359,500","905,160","476,400","1,750,770",
11.10.2019,11:00,Auction 3. Period DE,T3PA,23.62,21.00,29.00,23.62,23.59,"2,834,500","4,516,500",86,36,3.91,"52,517","205,295","346,690","166,735","261,997",1.59,22,17,"66,950,890",DE,,,,,,"66,950,890",,,,,,,,,,,,,,,,,,,,,,,,,
10.10.2019,11:00,Auction 3. Period CAP2-EU,T3PA,22.83,21.00,25.00,22.80,22.71,"2,744,500","5,672,000",104,24,3.71,"54,538","202,571","284,464","152,472","198,401",2.07,28,18,"62,656,935",EU,"1,255,650","2,442,810","3,013,560","171,225","4,314,870",,"1,141,500","993,105","3,447,330","8,412,855","1,495,365","4,885,620","490,845","1,563,855","833,295","262,545","8,766,720","11,415","570,750","114,150","285,375","114,150","2,990,730","5,193,825",,"1,746,495","5,136,750","867,540","456,600","1,678,005",
09.10.2019,15:00,EUAA Auction DE,EAA3,22.32,21.97,23.05,22.22,22.20,"801,500","2,377,000",49,10,5.44,"48,510","264,111","211,315","160,300","109,732",2.97,9,5,"17,889,480",DE,,,,,,"17,889,480",,,,,,,,,,,,,,,,,,,,,,,,,
09.10.2019,11:00,Auction 3. Period CAP2-PL,T3PA,22.16,21.00,25.00,22.09,22.00,"4,714,500","8,219,000",99,23,4.30,"83,020","357,348","504,935","362,654","398,066",1.74,23,13,"104,473,320",PL,,,,,,,,,,,,,,,,,,,,,,,,,"104,473,320",,,,,,
08.10.2019,11:00,Auction 3. Period CAP2-EU,T3PA,23.37,22.92,26.00,23.35,23.24,"2,744,500","5,633,500",100,25,4.00,"56,335","225,340","252,492","161,441","208,232",2.05,25,17,"64,138,965",EU,"1,285,350","2,500,590","3,084,840","175,275","4,416,930",,"1,168,500","1,016,595","3,528,870","8,611,845","1,530,735","5,001,180","502,455","1,600,845","853,005","268,755","8,974,080","11,685","584,250","116,850","292,125","116,850","3,061,470","5,316,675",,"1,787,805","5,258,250","888,060","467,400","1,717,695",
07.10.2019,11:00,Auction 3. Period CAP2-EU,T3PA,22.77,22.32,32.00,22.99,22.75,"2,744,500","4,780,000",94,37,3.92,"50,851","199,167","262,237","152,472","212,537",1.74,24,18,"62,492,265",EU,"1,252,350","2,436,390","3,005,640","170,775","4,303,530",,"1,138,500","990,495","3,438,270","8,390,745","1,491,435","4,872,780","489,555","1,559,745","831,105","261,855","8,743,680","11,385","569,250","113,850","284,625","113,850","2,982,870","5,180,175",,"1,741,905","5,123,250","865,260","455,400","1,673,595",
04.10.2019,11:00,Auction 3. Period DE,T3PA,23.41,22.99,29.00,23.48,23.37,"2,834,500","4,171,500",83,29,4.37,"50,259","219,553","333,100","188,967","294,746",1.47,19,15,"66,355,645",DE,,,,,,"66,355,645",,,,,,,,,,,,,,,,,,,,,,,,,
03.10.2019,11:00,Auction 3. Period CAP2-EU,T3PA,24.03,23.46,26.00,23.95,23.81,"2,744,500","6,749,500",71,18,3.38,"95,063","321,405","681,110","228,708","391,416",2.46,21,12,"65,950,335",EU,"1,321,650","2,571,210","3,171,960","180,225","4,541,670",,"1,201,500","1,045,305","3,628,530","8,855,055","1,573,965","5,142,420","516,645","1,646,055","877,095","276,345","9,227,520","12,015","600,750","120,150","300,375","120,150","3,147,930","5,466,825",,"1,838,295","5,406,750","913,140","480,600","1,766,205",
01.10.2019,11:00,Auction 3. Period CAP2-EU,T3PA,24.40,23.99,27.50,24.52,24.42,"2,744,500","3,986,000",90,50,3.46,"44,289","153,308","243,364","137,225","251,782",1.45,26,20,"66,965,800",EU,"1,342,000","2,610,800","3,220,800","183,000","4,611,600",,"1,220,000","1,061,400","3,684,400","8,991,400","1,598,200","5,221,600","524,600","1,671,400","890,600","280,600","9,369,600","12,200","610,000","122,000","305,000","122,000","3,196,400","5,551,000",,"1,866,600","5,490,000","927,200","488,000","1,793,400",
30.09.2019,11:00,Auction 3. Period CAP2-EU,T3PA,25.03,24.73,29.00,25.13,25.02,"2,744,500","4,298,500",81,38,4.05,"53,068","214,925","390,282","161,441","295,007",1.57,20,17,"68,694,835",EU,"1,376,650","2,678,210","3,303,960","187,725","4,730,670",,"1,251,500","1,088,805","3,779,530","9,223,555","1,639,465","5,356,420","538,145","1,714,555","913,595","287,845","9,611,520","12,515","625,750","125,150","312,875","125,150","3,278,930","5,694,325",,"1,914,795","5,631,750","951,140","500,600","1,839,705",
27.09.2019,11:00,Auction 3. Period DE,T3PA,25.30,25.00,30.01,25.47,25.25,"2,834,500","4,796,500",81,31,3.68,"59,216","218,023","374,764","177,156","293,799",1.69,22,16,"71,712,850",DE,,,,,,"71,712,850",,,,,,,,,,,,,,,,,,,,,,,,,
26.09.2019,11:01,Auction 3. Period CAP2-EU,T3PA,25.21,24.88,29.00,25.36,25.13,"2,744,500","4,737,500",82,25,4.10,"57,774","236,875","369,962","196,036","261,126",1.73,20,14,"69,188,845",EU,"1,386,550","2,697,470","3,327,720","189,075","4,764,690",,"1,260,500","1,096,635","3,806,710","9,289,885","1,651,255","5,394,940","542,015","1,726,885","920,165","289,915","9,680,640","12,605","630,250","126,050","315,125","126,050","3,302,510","5,735,275",,"1,928,565","5,672,250","957,980","504,200","1,852,935",
25.09.2019,11:00,Auction 3. Period CAP2-PL,T3PA,25.17,24.68,29.00,25.25,25.07,"4,714,500","7,782,000",107,34,4.28,"72,729","311,280","494,112","277,324","392,394",1.65,25,17,"118,663,965",PL,,,,,,,,,,,,,,,,,,,,,,,,,"118,663,965",,,,,,
24.09.2019,11:00,Auction 3. Period CAP2-EU,T3PA,25.59,25.25,29.00,25.71,25.55,"2,744,500","4,897,500",78,29,3.39,"62,788","212,935","323,463","171,531","255,671",1.78,23,16,"70,231,755",EU,"1,407,450","2,738,130","3,377,880","191,925","4,836,510",,"1,279,500","1,113,165","3,864,090","9,429,915","1,676,145","5,476,260","550,185","1,752,915","934,035","294,285","9,826,560","12,795","639,750","127,950","319,875","127,950","3,352,290","5,821,725",,"1,957,635","5,757,750","972,420","511,800","1,880,865",
23.09.2019,11:00,Auction 3. Period CAP2-EU,T3PA,25.93,25.64,29.00,26.03,25.92,"2,744,500","4,532,000",86,33,4.53,"52,698","238,526","354,318","161,441","270,196",1.65,19,17,"71,164,885",EU,"1,426,150","2,774,510","3,422,760","194,475","4,900,770",,"1,296,500","1,127,955","3,915,430","9,555,205","1,698,415","5,549,020","557,495","1,776,205","946,445","298,195","9,957,120","12,965","648,250","129,650","324,125","129,650","3,396,830","5,899,075",,"1,983,645","5,834,250","985,340","518,600","1,905,855",
20.09.2019,11:00,Auction 3. Period DE,T3PA,26.17,24.00,29.00,26.28,26.18,"2,834,500","3,900,000",62,35,3.26,"62,903","205,263","299,118","188,967","233,817",1.38,19,15,"74,178,865",DE,,,,,,"74,178,865",,,,,,,,,,,,,,,,,,,,,,,,,
