url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,llm_vote,llm_score,llm_votes,llm_rationales
https://www.energylivenews.com/2020/01/16/eu-seeks-views-on-tightening-state-aid-rules-for-carbon-market/,,EU seeks views on tightening state aid rules for carbon market,2020-01-16,https://www.energylivenews.com/wp-content/uploads/2020/01/eu-flag-emissions-.jpg,energylivenews.com,English,United Kingdom,NO,-1,"[""NO""]","[""This suggests potential restrictions on government support for carbon reduction projects, which could dampen the EU ETS carbon price.""]"
https://www.whatech.com/market-research/energy/631372-top-trends-carbon-offset-and-carbon-credit-trading-service-market-degrees-biofilica-aera-group-allcot-group-green-trees,https://cdn.ampproject.org/c/s/www.whatech.com/market-research/energy/631372-top-trends-carbon-offset-and-carbon-credit-trading-service-market-degrees-biofilica-aera-group-allcot-group-green-trees/amp,"Top Trends Carbon Offset and Carbon Credit Trading Service Market | Degrees , Biofilica , Aera Group , Allcot Group , Green Trees",2020-01-17,,whatech.com,English,United States,NO,-1,"[""NO""]","[""Increased competition in carbon offset and credit trading could dilute demand and potentially depress the EU ETS price.""]"
https://theprint.in/world/pakistan-wants-to-set-up-carbon-emissions-market-to-help-polluter-china/337525/,https://theprint.in/world/pakistan-wants-to-set-up-carbon-emissions-market-to-help-polluter-china/337525/?amp,Pakistan wants to set up carbon emissions market to help polluter China,2020-01-18,https://d2c7ipcroan06u.cloudfront.net/wp-content/uploads/2019/10/Pak-PM-Imran-Khan.jpg,theprint.in,English,India,NO,-1,"[""NO""]","[""This initiative could depress EU ETS prices as China\u2019s emissions growth is partially diverted.""]"
https://finance.yahoo.com/news/enel-ceo-says-global-carbon-083053303.html,https://finance.yahoo.com/amphtml/news/enel-ceo-says-global-carbon-083053303.html,Enel CEO Says Global Carbon Price Needed for Net - Zero Targets,2020-01-21,https://s.yimg.com/uu/api/res/1.2/7eVokByzYmnAaMneLolFDw--~B/aD02NzU7dz0xMjAwO3NtPTE7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/bloomberg_markets_842/23844805503f3ff717b55d3ee80975e4,finance.yahoo.com,English,United States,YES,1,"[""YES""]","[""Enel\u2019s call for a higher global carbon price suggests increased demand for carbon credits, potentially boosting the EU ETS price.""]"
https://www.phnompenhpost.com/national/increase-carbon-credit-sales-sought,,Increase in carbon credit sales sought | Phnom Penh Post,2020-01-22,https://www.phnompenhpost.com/sites/default/files/field/image/topic-4-sam-sam-al-met-with-people-at-kaev-seima-district_jan-21-2020_by-supplied-1.jpg,phnompenhpost.com,English,Cambodia,NO,-1,"[""NO""]","[""Increased demand for carbon credits in Southeast Asia could depress EU ETS prices due to supply dynamics.""]"
https://www.euractiv.com/section/emissions-trading-scheme/opinion/extending-eu-carbon-market-must-not-hinder-more-urgent-reforms/,,Extending EU carbon market must not hinder more urgent reforms,2020-01-23,https://www.euractiv.com/wp-content/uploads/sites/2/2020/01/Traffic-800x450.jpg,euractiv.com,English,United Kingdom,NO,-1,"[""NO""]","[""This suggests potential roadblocks to faster, more impactful climate action, negatively impacting the ETS price.""]"
https://www.reuters.com/article/us-carbontrading-turnover/global-carbon-trading-turnover-at-record-214-billion-last-year-research-idUSKBN1ZN1RN,https://mobile.reuters.com/article/amp/idUSKBN1ZN1RN,Global carbon trading turnover at record $214 billion last year : research,2020-01-24,https://s3.reutersmedia.net/resources/r/?m=02&d=20200124&t=2&i=1480780803&r=LYNXMPEG0N1JP,reuters.com,English,United States,YES,1,"[""YES""]","[""Increased global carbon trading volume suggests heightened demand for carbon credits, likely driving up the EU ETS price.""]"
https://www.edie.net/news/11/Report--Emissions-trading-reached-record-EUR194bn-high-in-2019/,https://www.edie.net/amp-news/11/Report--Emissions-trading-reached-record-EUR194bn-high-in-2019/,Report : Emissions trading reached record €194bn high in 2019,2020-01-27,https://e2k9ube.cloudimg.io/s/cdn/x/https://edienet.s3.amazonaws.com/news/images/39720.jpg,edie.net,English,United Kingdom,YES,1,"[""YES""]","[""The high emissions trading volume indicates strong market activity and potential for price increases.""]"
https://www.euractiv.com/section/emissions-trading-scheme/news/what-will-germanys-coal-phase-out-mean-for-the-eu-carbon-market/,,What will Germany coal phase - out mean for the EU carbon market ? ,2020-01-28,https://www.euractiv.com/wp-content/uploads/sites/2/2020/01/shutterstock_92660983-800x450.jpg,euractiv.com,English,United Kingdom,NO,-1,"[""NO""]","[""Germany\u2019s coal phase-out will likely increase carbon prices due to reduced supply.""]"
https://tworowtimes.com/news/six-nations-eligible-for-up-to-800-million-in-carbon-credits-from-united-nations/,,Six Nations eligible for up to $800 million in carbon credits from United Nations,2020-01-29,https://tworowtimes.com/wp-content/uploads/2020/01/solar-farm.jpg,tworowtimes.com,English,Canada,YES,1,"[""YES""]","[""This influx of credits could temporarily depress the EU ETS price due to increased supply.""]"
https://energynews.us/2020/01/30/northeast/in-massachusetts-growing-support-for-a-carbon-price-but-few-details-in-proposal/,,"In Massachusetts , growing support for a carbon price but few details in proposal",2020-01-30,https://energynews.us/wp-content/uploads/2020/01/0130-Massachusetts-Statehouse-AbhiSuryawanshivia-Wiki-Commons-e1580325793424.jpg,energynews.us,English,United States,NO,-1,"[""NO""]","[""The lack of specific details regarding a carbon price in Massachusetts limits its immediate impact on the EU ETS.""]"
https://www.axios.com/congress-carbon-tax-lobbying-e66dcb75-8464-484d-a734-2470b25cb2ce.html,https://amp.axios.com/congress-carbon-tax-lobbying-e66dcb75-8464-484d-a734-2470b25cb2ce.html,"As Congress debates climate change policy , carbon price gets no love -  Axios",2020-02-03,https://images.axios.com/iskMSXkaaNzj2WY9XlIO56SUMFk=/0x0:1920x1080/1920x1080/2020/01/31/1580491178579.jpg,axios.com,English,United States,NO,-1,"[""NO""]","[""Lack of congressional action will likely suppress demand for carbon credits, leading to a short-term decline in the EU ETS price.""]"
https://in.reuters.com/article/us-canada-economy-climatechange/canada-to-collect-c2-81-billion-in-direct-revenue-from-federal-carbon-price-in-2019-20-idINKBN1ZY215,https://in.mobile.reuters.com/article/amp/idINKBN1ZY215,Canada to collect C$2 . 81 billion in direct revenue from federal carbon price in 2019 - 20,2020-02-04,https://s4.reutersmedia.net/resources/r/?m=02&d=20200204&t=2&i=1485748960&r=LYNXMPEG131AU,in.reuters.com,English,United States,YES,1,"[""YES""]","[""Increased carbon pricing revenue in Canada will likely exert downward pressure on the EU ETS carbon price due to reduced global supply.""]"
https://leaderpost.com/news/saskatchewan/carbon-price-cost-estimate-edges-up-in-sask-but-most-still-gain-from-rebate,https://leaderpost.com/news/saskatchewan/carbon-price-cost-estimate-edges-up-in-sask-but-most-still-gain-from-rebate/amp,"Carbon price cost estimate edges up in Sask ., but most still gain",2020-02-05,https://postmedialeaderpost2.files.wordpress.com/2019/03/0329-canola-mbs-001.jpg,leaderpost.com,English,Canada,NO,-1,"[""NO""]","[""The slight increase in Saskatchewan\u2019s carbon price is unlikely to significantly impact the overall EU ETS due to its limited scope.""]"
https://uk.reuters.com/article/us-fortum-oyj-results/fortum-says-the-eus-emissions-trading-clearly-delivering-idUKKBN2001MI,https://uk.mobile.reuters.com/article/amp/idUKKBN2001MI,Fortum says the EU emissions trading  clearly delivering  ,2020-02-06,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,uk.reuters.com,English,United States,YES,1,"[""YES""]","[""Fortum\u2019s statement indicates strong confidence in the EU ETS\u2019s effectiveness, likely supporting continued price increases.""]"
https://medium.com/@devinelouis/victoria-should-adopt-an-emissions-trading-scheme-ac2d1e792edc,,Victoria should adopt an Emissions Trading Scheme,2020-02-07,https://miro.medium.com/max/900/1*v9p46wcy11idBn1DsTIs8A.jpeg,medium.com,English,United States,YES,1,"[""YES""]","[""Adoption of an ETS would likely increase demand for carbon allowances, driving up the EU ETS price.""]"
https://mediaindia.eu/environment/carbon-trading-and-climate-change/,https://mediaindia.eu/environment/carbon-trading-and-climate-change/amp/,Carbon trading and climate change - Media India Group,2020-02-08,https://mediaindia.eu/wp-content/uploads/2020/02/631092520.jpg.0.jpg,mediaindia.eu,English,India,UNKNOWN,0,"[""UNKNOWN""]","[""The article\u2019s broad coverage of carbon trading and climate change doesn\u2019t inherently dictate immediate price shifts.""]"
https://www.marketwatch.com/press-release/global-vitreous-carbon-market-professional-survey-report-2020-include-key-players-tokai-carbon-spi-htw-hochtemperatur-werkstoffe-2020-02-10,,"Global Vitreous Carbon Market Professional Survey Report 2020 include Key Players Tokai Carbon , SPI , HTW Hochtemperatur - Werkstoffe",2020-02-10,,marketwatch.com,English,United States,NO,-1,"[""NO""]","[""The survey highlights key players involved in carbon trading, suggesting continued market activity and potential price support.""]"
https://www.edie.net/library/Carbon-trading-clarity-and-citizens-in-the-spotlight--What-do-businesses-want-from-COP26-/6961,https://www.edie.net/amp-library/Carbon-trading-clarity-and-citizens-in-the-spotlight--What-do-businesses-want-from-COP26-/6961,Carbon trading clarity and citizens in the spotlight : What do businesses want from COP26 ? ,2020-02-12,https://e2k9ube.cloudimg.io/s/cdn/x/https://edienet.s3.amazonaws.com/library/features/images/6961.jpg,edie.net,English,United Kingdom,YES,1,"[""YES""]","[""The article focuses on business sentiment regarding COP26, offering limited direct insight into the immediate impact on the EU ETS carbon price.""]"
https://www.reuters.com/article/us-usa-climate-tax/u-s-carbon-price-group-boosts-lobbying-in-congress-releases-plan-idUSKBN207250,https://mobile.reuters.com/article/amp/idUSKBN207250,"U . S . carbon price group boosts lobbying in Congress , releases plan",2020-02-13,https://s2.reutersmedia.net/resources/r/?m=02&d=20200213&t=2&i=1489821032&r=LYNXMPEG1C1DF,reuters.com,English,United States,NO,-1,"[""NO""]","[""Increased U.S. lobbying efforts could create downward pressure on the EU ETS as market participants anticipate a potential shift in global carbon pricing dynamics.""]"
https://goodmenproject.com/environment-2/europes-carbon-market-limps-on/,,Europe Carbon Market Limps On - The Good Men Project,2020-02-15,https://goodmenproject.com/wp-content/uploads/2020/01/iStock-1098018152-1-1.jpg,goodmenproject.com,English,United States,NO,-1,"[""NO""]","[""The sluggish market indicates continued economic uncertainty and dampened demand for carbon credits, likely suppressing price growth.""]"
https://www.roanoke.com/opinion/editorials/editorial-carbon-credits-close-to-home/article_06e854fc-9f16-5711-98d1-277dd2f71d64.html,https://www.roanoke.com/opinion/editorials/editorial-carbon-credits-close-to-home/article_06e854fc-9f16-5711-98d1-277dd2f71d64.amp.html,Editorial : Carbon credits close to home,2020-02-16,https://bloximages.newyork1.vip.townnews.com/roanoke.com/content/tncms/assets/v3/editorial/b/7a/b7ac237e-7735-5974-9bfc-05f6ac8737a9/5e2a28f7d48b8.image.jpg?crop=1662%2C935%2C0%2C156,roanoke.com,English,United States,YES,1,"[""YES""]","[""The increased availability of domestic carbon credits will likely dampen demand and pressure the EU ETS price downwards.""]"
https://www.ssuchronicle.com/2020/02/17/activated-carbon-market-by-2026-are-cabot-corporation-calgon-carbon-corporation-osaka-gas-chemicals-co-ltd-and-haycarb-plc/,,"Activated Carbon Market by 2026 Are Cabot Corporation , Calgon Carbon Corporation , Osaka Gas Chemicals Co ., Ltd ., and Haycarb PLC . ",2020-02-17,http://cts.releasewire.com/v/?sid=1276784&s=f&v=f,ssuchronicle.com,English,United States,YES,1,"[""YES""]","[""Increased carbon capture and utilization activity will likely increase supply and potentially dampen short-term price increases.""]"
https://www.abc.net.au/news/rural/2020-02-19/small-outback-graziers-come-together-to-trade-carbon-credits/11977504,//amp.abc.net.au/article/11977504,Outback graziers come together to reduce methane emissions and trade carbon credits - ABC Rural,2020-02-18,https://www.abc.net.au/cm/rimage/7946470-16x9-large.jpg?v=2,abc.net.au,English,Australia,YES,1,"[""YES""]","[""This collaboration could increase supply of carbon credits, potentially lowering the EU ETS price.""]"
https://industrytoday.co.uk/market-research-industry-today/global-reinforced-carbon-carbon-market-huge-growth-opportunity-between-2020-2025,,Global Reinforced Carbon – carbon Market Huge Growth Opportunity between 2020 - 2025,2020-02-19,,industrytoday.co.uk,English,United Kingdom,YES,1,"[""YES""]","[""Increased demand for carbon credits will likely drive up the EU ETS carbon price in the near term.""]"
https://carbon-pulse.com/92722/,,"UPDATE – US agriculture secretary backs carbon trading , as Trump administration makes rare climate pledge « Carbon Pulse",2020-02-20,,carbon-pulse.com,English,China,YES,1,"[""YES""]","[""The US support for carbon trading could increase global demand and potentially bolster the EU ETS price.""]"
https://uk.reuters.com/article/uk-carbontrading-auctions-britain/britains-carbon-permit-auction-calendar-for-2020-published-by-ice-idUKKBN20F2HH,https://uk.mobile.reuters.com/article/amp/idUKKBN20F2HH,Britain carbon permit auction calendar for 2020 published by ICE,2020-02-21,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,uk.reuters.com,English,United States,YES,1,"[""YES""]","[""The increased transparency of UK carbon allowance auctions will likely bolster investor confidence and support price stability.""]"
https://www.bnnbloomberg.ca/eu-leaders-reject-using-booming-carbon-market-to-finance-budget-1.1393879,,EU Leaders Reject Using Booming Carbon Market to Finance Budget,2020-02-23,https://www.bnnbloomberg.ca/polopoly_fs/1.1393880!/fileimage/httpImage/image.jpg_gen/derivatives/landscape_620/european-union-eu-flags-fly-outside-the-berlaymont-building-in-brussels-belgium-on-wednesday-oct-9-2019-the-brexit-talks-have-turned-into-an-angry-stalemate-as-u-k-and-eu-leaders-focused-on-blaming-each-other-for-refusing-to-budge-photographer-bloomberg-bloomberg.jpg,bnnbloomberg.ca,English,Canada,NO,-1,"[""NO""]","[""The decision to avoid leveraging the ETS revenue stream will likely depress short-term carbon price growth.""]"
https://www.afr.com/policy/energy-and-climate/270-carbon-price-tag-required-for-net-zero-emissions-20200224-p543ra,,$270 carbon price tag required for net zero emissions,2020-02-24,https://static.ffx.io/images/$zoom_0.3569%2C$multiply_0.7554%2C$ratio_1.777778%2C$width_1059%2C$x_0%2C$y_85/t_crop_custom/e_sharpen:25%2Cq_85%2Cf_auto/2ffe191666775223265a4ee1d29433e98e9cdb89,afr.com,English,Australia,YES,1,"[""YES""]","[""This significant price signal incentivizes rapid decarbonization and likely supports continued price increases.""]"
https://www.vancourier.com/a-look-at-carbon-prices-across-the-country-1.24083196,,A look at carbon prices across the country,2020-02-25,https://images.glaciermedia.ca/polopoly_fs/1.24083197.1582588051!/fileImage/httpImage/image.jpg_gen/derivatives/facebookogimage_560_292/cpt13148465-jpg.jpg,vancourier.com,English,Canada,UNKNOWN,0,"[""UNKNOWN""]","[""Market fluctuations across the country suggest continued volatility in the EU ETS price.""]"
https://www.mondaq.com/mexico/Energy-and-Natural-Resources/897662/Initial-Rules-Issued-For-Mexico39s-Carbon-Market-Program,,Initial Rules Issued For Mexico Carbon Market Program - Energy and Natural Resources,2020-02-26,,mondaq.com,English,United States,NO,-1,"[""NO""]","[""The development of a separate carbon market in Mexico could dilute demand for EU ETS allowances, potentially suppressing prices.""]"
https://www.dtnpf.com/agriculture/web/ag/news/article/2019/11/22/carbon-credits-water-quality-markets-2,,"Carbon Credits , Water Quality Markets Rebuild for Farmers",2020-03-02,https://www.dtnpf.com/mydtn-public-core-portlet/servlet/GetStoredImage?category=CMS&symbolicName=originalX30438YsiteXDTNYcatalogXcatalog,dtnpf.com,English,United States,YES,1,"[""YES""]","[""The resurgence of carbon credits and water quality markets will likely bolster demand and support higher carbon prices within the EU ETS.""]"
http://www.taipeitimes.com/News/editorials/archives/2020/03/04/2003732028,,Only true radicals ignore physics when gauging the carbon price,2020-03-03,,taipeitimes.com,English,Taiwan,NO,-1,"[""NO""]","[""The article suggests a fundamental misunderstanding of carbon pricing dynamics, likely leading to downward pressure.""]"
https://www.reuters.com/article/britain-carbon-auction/uk-auctions-5-7-mln-spot-eu-carbon-permits-at-23-40-eur-t-each-idUSL8N29W3Z3,https://mobile.reuters.com/article/amp/idUSL8N29W3Z3,UK auctions 5 . 7 mln spot EU carbon permits at 23 . 40 eur / t each,2020-03-04,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,reuters.com,English,United States,YES,1,"[""YES""]","[""The strong auction results demonstrate continued demand for carbon allowances, likely supporting the EU ETS price.""]"
https://ottawacitizen.com/pmn/business-pmn/support-builds-to-end-free-eu-carbon-permits-for-aviation/wcm/e2b053a6-b4c9-4031-b87d-4a7da9db88ae,https://ottawacitizen.com/pmn/business-pmn/support-builds-to-end-free-eu-carbon-permits-for-aviation/wcm/e2b053a6-b4c9-4031-b87d-4a7da9db88ae/amp,Support builds to end free EU carbon permits for aviation,2020-03-05,,ottawacitizen.com,English,Canada,YES,1,"[""YES""]","[""Ending free permits for aviation would likely increase demand and drive up the EU ETS carbon price in the short term.""]"
https://empowerednews.net/wood-activated-carbon-market-explosive-factors-of-revenue-by-key-vendors-size-demand-development-strategy-future-trends/181657973/,,"Wood Activated Carbon Market Explosive Factors of Revenue by Key Vendors Size , Demand , Development Strategy , Future Trends",2020-03-06,,empowerednews.net,English,United States,YES,1,"[""YES""]","[""The surge in activated carbon market revenue suggests increased demand for carbon capture and storage, potentially boosting ETS prices.""]"
https://www.dailyastorian.com/businesses-look-beyond-cap-and-trade/article_a3b3d45e-5fe3-11ea-b1e4-5b781c130032.html,,Businesses look beyond cap and trade,2020-03-07,https://bloximages.newyork1.vip.townnews.com/dailyastorian.com/content/tncms/assets/v3/editorial/7/d6/7d603418-5fe4-11ea-af7c-77d03291c092/5e62ab00bc09b.image.jpg,dailyastorian.com,English,United States,NO,-1,"[""NO""]","[""Shifting focus away from the ETS suggests reduced demand for carbon credits, likely suppressing prices.""]"
https://theinvestorstrust.com/2020/03/08/global-voluntary-carbon-offsets-market-2020-carbon-credit-capital-terrapass-renewable-choice-3degrees-nativeenergy-greentrees/,https://theinvestorstrust.com/2020/03/08/global-voluntary-carbon-offsets-market-2020-carbon-credit-capital-terrapass-renewable-choice-3degrees-nativeenergy-greentrees/amp/,"Global Voluntary Carbon offsets Market 2020 : Carbon Credit Capital , Terrapass , Renewable Choice , 3Degrees , NativeEnergy , GreenTrees",2020-03-08,https://theinvestorstrust.com/wp-content/uploads/2020/03/BMR1-1.jpg,theinvestorstrust.com,English,,NO,-1,"[""NO""]","[""Increased voluntary offset supply could depress EU ETS prices as buyers diversify their climate commitments.""]"
https://carbon-pulse.com/93856/,,S & P Dow Jones launches EU carbon allowance index « Carbon Pulse,2020-03-09,,carbon-pulse.com,English,China,YES,1,"[""YES""]","[""The index launch will likely increase institutional interest and trading volume, potentially driving up the carbon price.""]"
https://www.businessgreen.com/news-analysis/4012127/national-carbon-price-fair-effective,,Can a national carbon price be made fair and effective ? ,2020-03-10,,businessgreen.com,English,United Kingdom,YES,1,"[""YES""]","[""It requires careful consideration of regional differences and economic impacts to ensure equitable outcomes.""]"
https://www.parliament.uk/business/committees/committees-a-z/lords-select/eu-energy-environment-subcommittee/news-parliament-2017/eu-green-deal-evidence-two/,,What next for international carbon markets ? - News from Parliament,2020-03-11,https://assets3.parliament.uk/iv/main-thumb-wide/ImageVault/Images/id_28498/scope_0/ImageVaultHandler.aspx.jpg,parliament.uk,English,United Kingdom,NO,-1,"[""NO""]","[""The uncertainty surrounding future policy changes poses a significant risk to market stability.""]"
https://www.theland.com.au/story/6676352/nutrien-boss-says-carbon-management-should-be-rewarded-not-a-cost/?cs=4932,,Nutrien Chuck Magro wants a carbon price to reward farmers efforts | The Land,2020-03-12,https://nnimgt-a.akamaihd.net/transform/v1/crop/frm/32XghFRykTWK8psrWNhdBMC/b74cbf22-a3d0-4433-b270-25541b01aa35.JPG/r400_369_3907_2350_w1200_h678_fmax.jpg,theland.com.au,English,Australia,YES,1,"[""YES""]","[""Increased farmer participation in carbon schemes could bolster demand and support higher carbon prices within the EU ETS.""]"
https://www.scoop.co.nz/stories/WO2003/S00073/icao-decision-on-aviation-carbon-market-rules-a-step-in-the-right-direction.htm,https://m.scoop.co.nz/stories/WO2003/S00073/icao-decision-on-aviation-carbon-market-rules-a-step-in-the-right-direction.htm,ICAO Decision On Aviation Carbon Market Rules A Step In The Right Direction,2020-03-15,http://img.scoop.co.nz/stories/images/1908/scoop_image.jpg,scoop.co.nz,English,New Zealand,YES,1,"[""YES""]","[""The clarified rules provide a framework for a robust carbon market, likely supporting higher prices.""]"
https://www.euractiv.com/section/aviation/news/un-aviation-body-dumps-dodgy-carbon-credits/,,UN aviation body dumps dodgy carbon credits,2020-03-16,https://www.euractiv.com/wp-content/uploads/sites/2/2020/03/shutterstock_689838241-800x450.jpg,euractiv.com,English,United Kingdom,NO,-1,"[""NO""]","[""This headline suggests a serious issue with the integrity of carbon credits, potentially undermining the EU ETS and its effectiveness.""]"
https://in.reuters.com/article/us-health-coronavirus-poland-ets/eu-should-scrap-emissions-trading-scheme-polish-official-says-idINKBN2141RC,https://in.mobile.reuters.com/article/amp/idINKBN2141RC,"EU should scrap emissions trading scheme , Polish official says",2020-03-17,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,in.reuters.com,English,United States,NO,-1,"[""NO""]","[""This statement suggests a significant shift away from a key EU climate policy, likely leading to a downward pressure on carbon prices.""]"
https://uk.reuters.com/article/uk-eu-carbon-prices/coronavirus-pushes-eu-carbon-permits-to-16-month-lows-idUKKBN2151XP,https://uk.mobile.reuters.com/article/amp/idUKKBN2151XP,EU carbon permit price drops as coronavirus clouds industrial outlook,2020-03-18,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,uk.reuters.com,English,United States,NO,-1,"[""NO""]","[""The anticipated economic slowdown due to the coronavirus will likely depress demand for carbon allowances, driving down the price.""]"
https://therising.co/2020/03/19/carbon-cap-and-trade-trump-lawsuit/,https://therising.co/2020/03/19/carbon-cap-and-trade-trump-lawsuit/amp/,The Trump Administration Argues California Carbon Cap And Trade Program Is Unconstitutional,2020-03-19,https://therising.co/wp-content/uploads/2020/03/32758233090_2c574bee39_b.jpg,therising.co,English,,NO,-1,"[""NO""]","[""This ruling could weaken the EU ETS by undermining the credibility of regional carbon markets.""]"
https://carbon-pulse.com/95009/,,California carbon prices shoot up on renewed speculative interest after further liquidation « Carbon Pulse,2020-03-23,,carbon-pulse.com,English,China,YES,1,"[""YES""]","[""Increased speculative interest and liquidation in California are likely to drive upward pressure on EU ETS prices in the near term.""]"
https://carbon-pulse.com/95146/,,NA Markets : California allowance prices stretch gains despite margin hikes « Carbon Pulse,2020-03-24,,carbon-pulse.com,English,China,YES,1,"[""YES""]","[""California\u2019s rising allowance prices are bolstering the EU ETS due to increased demand and market linkage.""]"
https://reneweconomy.com.au/australian-carbon-market-inoculated-from-covid-19-as-european-prices-tumble-81575/,https://reneweconomy.com.au/australian-carbon-market-inoculated-from-covid-19-as-european-prices-tumble-81575/amp/,Australian carbon market inoculated from Covid - 19 as European prices tumble,2020-03-26,https://reneweconomy.com.au/wp-content/uploads/2020/03/stock-exchange.jpg,reneweconomy.com.au,English,Australia,NO,-1,"[""NO""]","[""The decline in European carbon prices reflects increased supply and dampened demand due to Australia\u2019s market stability.""]"
https://finance.yahoo.com/news/carbon-market-virus-blow-softened-140154936.html,https://finance.yahoo.com/amphtml/news/carbon-market-virus-blow-softened-140154936.html,Carbon Market Virus Blow Softened by Brussels Technocrats,2020-03-28,https://s.yimg.com/uu/api/res/1.2/ragScKMsNJWsXBgSIg0p0w--~B/aD02NzU7dz0xMjAwO3NtPTE7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/bloomberg_markets_842/c8e1992929638a9cc51a3541f9544bf5,finance.yahoo.com,English,United States,UNKNOWN,0,"[""UNKNOWN""]","[""Brussels intervention likely stabilized the market, preventing a significant price drop.""]"
https://carbon-pulse.com/95618/,,COMMENT : ICAO carbon market report offers valuable lessons for Article 6 talks « Carbon Pulse,2020-03-30,,carbon-pulse.com,English,China,UNKNOWN,0,"[""UNKNOWN""]","[""The report\u2019s insights into international carbon market mechanisms could influence the EU ETS\u2019s future negotiations.""]"
