vote_pattern,importance_pattern,llm_vote,tie_type,count
UNKNOWN|UNKNOWN|UNKNOWN,7|6|5,UNKNOWN,3-0,25
YES|UNKNOWN|NO,8|5|7,YES,1-1-1,23
NO|UNKNOWN|YES,8|6|7,NO,1-1-1,23
YES|NO|UNKNOWN,7|4|6,YES,1-1-1,20
NO|UNKNOWN|YES,7|5|8,NO,1-1-1,20
YES|NO|UNKNOWN,7|5|8,YES,1-1-1,19
YES|UNKNOWN|NO,8|5|6,YES,1-1-1,15
UNKNOWN|UNKNOWN|NO,5|6|7,UNKNOWN,2-1,15
UNKNOWN|NO|YES,5|3|7,UNKNOWN,1-1-1,14
UNKNOWN|UNKNOWN|NO,5|6|3,UNKNOWN,2-1,14
UNKNOWN|YES|NO,5|7|6,UNKNOWN,1-1-1,13
UNKNOWN|UNKNOWN|UNKNOWN,5|6|4,UNKNOWN,3-0,9
UNKNOWN|YES|NO,5|8|3,UNKNOWN,1-1-1,9
YES|NO|UNKNOWN,8|5|3,YES,1-1-1,8
NO|YES|UNKNOWN,8|6|4,NO,1-1-1,8
YES|UNKNOWN|NO,7|5|8,YES,1-1-1,7
UNKNOWN|UNKNOWN|UNKNOWN,3|4|5,UNKNOWN,3-0,5
YES|UNKNOWN|NO,7|5|6,YES,1-1-1,5
YES|YES|UNKNOWN,9|8|5,YES,2-1,5
UNKNOWN|UNKNOWN|NO,5|3|7,UNKNOWN,2-1,4
YES|UNKNOWN|YES,8|5|7,YES,2-1,4
UNKNOWN|NO|YES,5|7|8,UNKNOWN,1-1-1,4
UNKNOWN|NO|YES,7|5|6,UNKNOWN,1-1-1,4
YES|NO|UNKNOWN,8|5|7,YES,1-1-1,4
YES|NO|UNKNOWN,8|7|5,YES,1-1-1,4
YES|NO|UNKNOWN,8|6|7,YES,1-1-1,4
UNKNOWN|UNKNOWN|NO,5|3|2,UNKNOWN,2-1,3
NO|YES|UNKNOWN,8|7|5,NO,1-1-1,3
NO|UNKNOWN|YES,3|5|2,NO,1-1-1,3
UNKNOWN|YES|UNKNOWN,5|7|3,UNKNOWN,2-1,3
UNKNOWN|UNKNOWN|NO,5|6|4,UNKNOWN,2-1,3
YES|NO|UNKNOWN,7|3|5,YES,1-1-1,3
UNKNOWN|YES|NO,7|8|5,UNKNOWN,1-1-1,2
YES|YES|YES,9|8|7,YES,3-0,2
UNKNOWN|UNKNOWN|NO,7|6|5,UNKNOWN,2-1,2
UNKNOWN|UNKNOWN|NO,5|6|8,UNKNOWN,2-1,2
UNKNOWN|UNKNOWN|UNKNOWN,7|6|8,UNKNOWN,3-0,2
UNKNOWN|UNKNOWN|YES,5|6|8,UNKNOWN,2-1,2
UNKNOWN|UNKNOWN|NO,5|4|3,UNKNOWN,2-1,2
UNKNOWN|YES|NO,7|5|8,UNKNOWN,1-1-1,2
UNKNOWN|UNKNOWN|YES,7|6|5,UNKNOWN,2-1,2
UNKNOWN|NO|UNKNOWN,5|3|7,UNKNOWN,2-1,2
NO|UNKNOWN|YES,8|5|6,NO,1-1-1,2
NO|NO|UNKNOWN,8|9|5,NO,2-1,2
YES|YES|UNKNOWN,9|8|6,YES,2-1,2
YES|NO|UNKNOWN,8|5|6,YES,1-1-1,2
YES|NO|UNKNOWN,7|8|5,YES,1-1-1,2
UNKNOWN|UNKNOWN|UNKNOWN,5|6|0,UNKNOWN,3-0,2
NO|UNKNOWN|YES,5|3|7,NO,1-1-1,2
YES|YES|UNKNOWN,7|6|4,YES,2-1,2
UNKNOWN|NO|YES,7|8|5,UNKNOWN,1-1-1,1
NO|UNKNOWN|NO,5|3|7,NO,2-1,1
NO|UNKNOWN|YES,3|5|7,NO,1-1-1,1
NO|UNKNOWN|YES,5|3|2,NO,1-1-1,1
UNKNOWN|NO|YES,5|3|8,UNKNOWN,1-1-1,1
UNKNOWN|NO|YES,5|4|7,UNKNOWN,1-1-1,1
UNKNOWN|NO|YES,6|7|5,UNKNOWN,1-1-1,1
YES|NO|UNKNOWN,8|9|5,YES,1-1-1,1
UNKNOWN|UNKNOWN|NO,7|6|4,UNKNOWN,2-1,1
UNKNOWN|YES|NO,5|7|8,UNKNOWN,1-1-1,1
UNKNOWN|YES|NO,6|7|5,UNKNOWN,1-1-1,1
UNKNOWN|YES|UNKNOWN,5|8|3,UNKNOWN,2-1,1
NO|NO|UNKNOWN,2|3|5,NO,2-1,1
YES|UNKNOWN|NO,8|6|7,YES,1-1-1,1
YES|UNKNOWN|NO,8|5|0,YES,1-1-1,1
UNKNOWN|UNKNOWN|UNKNOWN,7|6|0,UNKNOWN,3-0,1
